rgn,type,mgmt,obj
Central Coast,PMZ,NA,"This PMZ, located in Burke Channel, has areas of high currents and upwelling, and it supports a number of invertebrate species, including prawn, Sea Cucumber, urchin, clam and crab. The area provides important Marbled Murrelet at-sea habitat. The area is"
Central Coast,PMZ,NA,"This small bay off of Burke Channel is ecologically rich. This PMZ is adjacent to a channel with high currents and upwelling, and it contains a unique large estuary system that supports an abundance of species, including a Steelhead system, and Chum, Pin"
Central Coast,PMZ,NA,"This PMZ encompasses Kildidt Sound. It has high rugosity and includes eelgrass, Bull Kelp, and Giant Kelp forests, which support a rich biodiversity, including numerous species of waterfowl, groundfish and rockfish, salmon, molluscs and crustaceans. Herr"
Central Coast,PMZ,NA,"This PMZ is located south of Superstition Point, in the Spider Islands, and includes exposed coastal habitat of high rugosity. Eelgrass, Bull Kelp and Giant Kelp support a diversity of marine life, including numerous species of waterfowl, molluscs and cr"
Central Coast,PMZ,NA,"This small estuary includes eelgrass and seaweed habitat and is important to a variety of species at various life stages, including waterfowl, Sockeye Salmon, Dungeness Crab and several other invertebrate species. The area has significant cultural and Tr"
Central Coast,PMZ,NA,"This PMZ is in a small bay off Burke Channel and is adjacent to a channel with high currents and upwelling. It has eelgrass beds and Bull Kelp beds that support important crab, groundfish and salmon populations. The area has high Traditional harvest impo"
Central Coast,PMZ,NA,"This area, located in Codville Lagoon, includes eelgrass and kelp beds, and is important for a variety of species, including marine birds, Dungeness Crab and clams. The area has cultural and Traditional harvest importance for local First Nations."
Central Coast,PMZ,NA,"This PMZ, located in Lama Passage, is important for a wide variety of ecosystem services and First Nations Traditional uses. High rugosity combined with multiple eelgrass and kelp beds support a high diversity of species, including crab, salmon, shellfis"
Central Coast,PMZ,NA,"This PMZ, located in a small inlet on the southeast end of Campbell Island, includes eelgrass beds and supports a salmon system and clam populations. The area is important to local First Nations in terms of cultural and Traditional harvest values."
Central Coast,PMZ,NA,"This PMZ starts in Hunter Channel and includes Sans Peur Passage. It is an area of high currents and high biodiversity. The PMZ includes significant areas of eelgrass, Bull Kelp, and Giant Kelp forests, and as a result, supports a number of species, incl"
Central Coast,PMZ,NA,"This PMZ is located south of Hunter Channel, and contains eelgrass and Bull Kelp beds, and clam beaches. It is a Traditional and active clam harvesting area for local First Nations."
Central Coast,PMZ,NA,"This area, located in Queens Sound, provides a wide variety of ecosystem services. The area includes exposed shoreline habitat, multiple rocky reefs, strong tidal currents, high rugosity, and eelgrass and kelp forests. It is an important area for the rec"
Central Coast,PMZ,NA,"This area, located at the head of Nowish Inlet, is an ecologically unique deep rock habitat. It is a contained system which supports halibut, prawn and mature rockfish populations. The area is also very important to local First Nations culturally and for"
Central Coast,PMZ,NA,"This PMZ, located in Jackson Pass, is in a unique high tidal area. It supports dense populations of clams and Box Crabs, and has high prawn and Sea Cucumber value. It is within a DFO-designated refugia for Sea Cucumber. There is concern with the followin"
Central Coast,PMZ,NA,"This area is located in Kwakume Inlet. Its eelgrass and kelp beds provide a nursery area for many marine species. The area provides food, shelter and protection from predators for many juvenile fish and shellfish species, and plays an important role in t"
Central Coast,PMZ,NA,"This PMZ, located off the northwest tip of Calvert Island, contains eelgrass, Bull Kelp, and Giant Kelp forests that support many invertebrate species, including Geoduck, and groundfish species. This area is culturally, ecologically and scientifically si"
Central Coast,PMZ,NA,"This PMZ, located in Griffin Passage, protects a unique shallow, high current channel that is an important crab-bearing area and is important for invertebrate fisheries, including Sea Cucumber and prawn. The area is also home to extensive kelp forests, w"
Central Coast,PMZ,NA,"This PMZ follows a submarine bank and exposed shoreline/rocky reef habitat that support a high abundance of rockfish species. The area also contains eelgrass and kelp beds that support herring spawn, and it provides haulouts for sea lions. Several marine"
Central Coast,PMZ,NA,"This PMZ encompasses Spiller Channel and Spiller Inlet, and includes estuaries, eelgrass beds and Bull Kelp. The area is important for many species, including Chum Salmon, prawn and Sea Cucumber. It is an important and sensitive herring holding and spawn"
Central Coast,PMZ,NA,"This area, located west of Penrose Island, includes shoreline habitat that is important for seaweed, and shellfish and other invertebrates. The area also provides important Marbled Murrelet at-sea habitat. This PMZ has cultural and Traditional harvesting"
Central Coast,PMZ,NA,"This area covers Nelson Narrows and Hardy and Moses Inlets. It contains estuaries, eelgrass beds and herring and halibut spawning areas. The area also provides important Marbled Murrelet at-sea habitat. This PMZ has high cultural and Traditional harvest"
Central Coast,PMZ,NA,"This PMZ, located off the southern end of Calvert Island, is a productive exposed coastal habitat with high rugosity. The area has high biodiversity, with significant concentrations of salmon that bring whales and other marine mammals to the area. It is"
Central Coast,PMZ,NA,"This area, located at the head Draney Inlet, includes large eelgrass beds, which are important habitats for a variety of species at different life stages. The area supports populations of Coho, Chum and Pink Salmon fry, crab and herring. The area also pr"
Central Coast,PMZ,NA,"This PMZ, located in Troupe Passage, eelgrass beds and habitat for several groundfish species. It also supports waterfowl and various invertebrate (e.g., Dungeness Crab) and salmon species. The area is important to local First Nations, both culturally an"
Central Coast,PMZ,NA,"Labouchere Channel is an area where waters from Dean and Burke Channels mix. As a result ,the area has high productivity, which supports forage fish, including herring spawn, and in turn, many other fish and bird species, as well as marine mammals. The a"
Central Coast,PMZ,NA,This PMZ encompasses Elizabeth Lagoon and Fish Egg Inlet. It includes eelgrass and Bull Kelp beds and is a herring spawning area. The area also provides important juvenile and mature rockfish habitat. The PMZ overlaps the Fish Egg Rockfish Conservation A
Central Coast,PMZ,NA,"The head of Kwatna Inlet, this area supports important Pink, Coho, Chinook, Chum and Sockeye salmon runs, as well as an eulachon run. The area is important for Dungeness Crab, prawn and groundfish and has high ecotourism values. The area has significant"
Central Coast,PMZ,NA,"This PMZ contains eelgrass, Bull Kelp, and Giant Kelp ecosystems that support Pelagic Cormorant, rockfish, abalone, Gooseneck Barnacle, Geoduck, prawn, halibut, groundfish and Sockeye Salmon populations. The area also supports spawning herring and provid"
Central Coast,PMZ,NA,"This PMZ, located at the end of Watson Bay, just off of Finlayson Channel, encompasses a deep pocketed bay with high rugosity, which provides unique inner coast rockfish and halibut habitat. The area is also of high value to local First Nations for the T"
Central Coast,PMZ,NA,"This estuary, located in Skowsquilts Bay, supports Sockeye, Pink and Coho Salmon populations and provides Marbled Murrelet feeding habitat. The area includes many sensitive cultural features and has cultural significance for local First Nations."
Central Coast,PMZ,NA,"This PMZ is located near the head of Spiller Channel and encompasses part of Ellerslie Bay, Ellerslie Lagoon and Spiller Inlet. This area has important marine habitat for juvenile salmon, crab and bivalves. There is a small eulachon run near the glacial"
Central Coast,PMZ,NA,"This PMZ, located off of Laredo Channel, is a brackish lagoon that supports Sockeye, Chum, Pink and Coho salmon. The mouth of the inlet contains important habitat for abalone and Red Sea Urchin. The area has high tourism value particularly for bear viewi"
Central Coast,PMZ,NA,"This area, located at the head of Kwatalena, includes a large estuary that supports an Eulachon run and multiple species of salmon. The PMZ also supports crab, prawn and groundfish, and it has high ecotourism values. The area has significant cultural and"
Central Coast,PMZ,NA,"This small bay within Kitasu Bay includes eelgrass beds that provide essential juvenile salmon habitat for the adjacent Sockeye Salmon spawning system. The area provides nursery habitat for many marine and anadromous species. Eelgrass provides food, shel"
Central Coast,PMZ,NA,"This area, located on the eastern and southern sides of Goose Island, has high rugosity and includes eelgrass and kelp beds that support marine birds, herring spawn and a number of invertebrate species. The area also provides important Marbled Murrelet a"
Central Coast,PMZ,NA,"This PMZ follows a submarine bank and exposed shoreline/rocky reef habitat that support a high abundance of rockfish species. This location, in particular, contains large size classes of long-lived species of rockfish, and could help rebuild depleted pop"
Central Coast,PMZ,NA,"Kitasu Bay, a complex habitat, supports a wide diversity of species, including marine birds, mammals, plants, salmon, shellfish, groundfish and forage fish. It is also an important spawning area for herring. The bay holds significant cultural and Traditi"
Central Coast,PMZ,NA,This PMZ encompasses Myers Passage and Alexander Inlet. It supports a variety of invertebrate species and includes multiple kelp beds that support herring spawn. The area provides important at-sea habitat for Marbled Murrelets. Meyers Passage is a Sea Cu
Central Coast,PMZ,NA,"This PMZ, located in Laredo Channel, includes a diversity of habitat types, including exposed shorelines and highly productive strong current channels. Multiple estuaries, eelgrass and kelp beds support a variety of species, including herring spawn. The"
Central Coast,PMZ,NA,"This area encompasses Bullock Channel, and supports groundfish, clam, crab and salmon populations. The area has been heavily impacted by the recreational fishery, and salmon system restoration is under way. The area also provides important Marbled Murrel"
Central Coast,PMZ,NA,"This PMZ is located in Kwakwa and includes eelgrass beds that provide essential juvenile salmon habitat for the adjacent Sockeye Salmon spawning system. Coho, Pink and Chum salmon also spawn in this system. The area provides habitat for a wide variety of"
Central Coast,PMZ,NA,"This PMZ, located in Laredo Sound, surrounds the southern tip of Aristazabal Island and extends to the western shores of Price Island and Swindle Island. The area includes diverse exposed shoreline habitat and a sea floor of high rugosity, which support"
Central Coast,PMZ,NA,"This area, located in Thompson Bay, includes eelgrass and kelp beds that support marine birds, herring spawn and a number of invertebrate species. The area supports rockfish populations and is important to local First Nations for the Traditional harvest"
Central Coast,PMZ,NA,"This small bay near the southwest corner of King Island contains eelgrass, which is important for juvenile Sockeye Salmon from an adjacent salmon system. The bay also includes Bull Kelp beds and important crab populations."
Central Coast,PMZ,NA,"This PMZ, located in Roscoe Inlet, has unique scenic features and contains several bear viewing sites. The area contains deep fjord habitat and eelgrass beds, and supports multiple species including crab, halibut, cod, Spring Salmon and substantial prawn"
Central Coast,PMZ,NA,"This PMZ is adjacent to Klemtu and encompasses Klemtu Passage, Jane Passage and Sarah Passage. The zone is culturally, ecologically and economically very important to local First Nations. It contains rockfish habitat, eelgrass and Bull Kelp beds that are"
Central Coast,PMZ,NA,"This PMZ, located at the mouth of a small inlet on the southeast end of Campbell Island, is an area of high tidal flushing, which supports a variety of marine life, including soft corrals (sea pens). The area also includes eelgrass beds, which support a"
Central Coast,PMZ,NA,"This PMZ, located in a small bay on the east shore of Rivers Inlet, contains eelgrass beds, which provide a nursery area for many marine and anadromous species. Eelgrass provides food, shelter and protection from predators for many juvenile fish and shel"
Central Coast,PMZ,NA,"A small area at the elbow of Draney Inlet, this area is part of a large estuary, which provides important habitat for a variety of species at different life stages. The area supports populations of Coho, Chum and Pink Salmon fry, Dungeness crab and herri"
Central Coast,PMZ,NA,"Webster Bay is a small bay in Troup Passage. It contains eelgrass and kelp bed estuaries that support high species diversity and abundance, including Dungeness Crab and major Chum, Pink and Coho Salmon runs."
Central Coast,PMZ,NA,"This is an area of high productivity that encompasses complex marine habitats and ecological processes, including multiple estuaries, eelgrass habitats and areas of high mixing and rapid currents. The area is important for Dungeness Crab, cockles, multip"
Central Coast,PMZ,NA,"This area, located at the head of Rivers Inlet, contains large estuaries, eelgrass beds and seal haulouts. Rivers Inlet supports Steelhead and Chum, Chinook, Coho, Pink and Sockeye salmon, including some of the largest salmon runs on the coast. It also h"
Central Coast,PMZ,NA,"A small bay off of Finlayson Channel, Carter Bay, is an important estuary that provides bull kelp habitat and a staging area for an adjacent Sockeye salmon run. The bay also has high  value for commercial tourism, with a  kayak campsite and anchorage."
Central Coast,PMZ,NA,Bolin Bay is located just off of Sheep Passage. This estuary includes eelgrass habitat that supports crab populations and provides important salmon habitat for various life stages. The estuary is frequented by Spirit Bears. The bay is an important cultur
Central Coast,PMZ,NA,"A small section of shoreline habitat on the north side of Burke Channel. The PMZ is prone to high winds and significant water turbulence. The area includes habitat for a number of invertebrate species, including prawn, sea cucumber, urchin, clam and crab"
Central Coast,PMZ,NA,"This is a network of estuaries that supports a complex ecosystem, which includes habitat for, and healthy populations of, Steelhead, Dungeness Crab, groundfish, invertebrates, shellfish and all five species of Pacific salmon. The area provides food, shel"
Central Coast,SMZ,Recreation and Tourism,"This pristine area, located in the bay outside Jump Across Creek, has unique ecological features, good nature viewing opportunities and cultural sites that are suitable for First Nations cultural tourism and commercial ecotourism ventures."
Central Coast,SMZ,Recreation and Tourism,"This area, located at the top end of Laredo Channel, provides excellent opportunities for whale watching, nature viewing, sport fishing and kayaking."
Central Coast,To Be Determined,NA,"This area contains a variety of ecological, economic, cultural and social values which will be considered during more detailed planning."
North Vancouver Island,SMZ,Cultural / Economic,"SMZ Cultural/Economic Emphasis Areas are intended to reinforce their high value to First Nations, on a seasonal and year-round basis, for cultural value protection, Aboriginal economic development opportunities, and food security. This value includes con"
North Vancouver Island,PMZ,Protection,"Significant ecological values due to major upwelling of nutrients creating a rich, diverse marine ecosystem.  There are key First Nation cultural/economic interests and local resident scenic values. Safeguarding the integrity of this interaction between"
North Vancouver Island,SMZ,Recreation and Tourism,"SMZ Recreation/Tourism Emphasis Areas are intended to reinforce their high value to existing commercial tourism operations, particularly during the months of late May to early October. Other uses and activities in SMZ Recreation/Tourism Emphasis Areas sh"
North Vancouver Island,SMZ,Community,"SMZ Community Emphasis Areas are intended to reinforce their value for seasonal and year-round uses and activities associated with, required by, and primarily dictated by, adjacent, or nearby communities. The uses and activities in SMZ Community Emphasis"
North Vancouver Island,SMZ,Cultural / Economic,SMZ Shellfish Aquaculture Emphasis Areas are intended to reinforce interest by First Nations in investigation and (if feasible) the development of bottom and off-bottom shellfish aquaculture operations. These areas may be associated with integrated multi
North Vancouver Island,PMZ,Protection,"Important species and habitats, including those of cultural importance to First Nations. Significant for seasonal marine harvesting and ecotourism activities by First Nations. It is an important whale and wildlife viewing area. Includes important habitat"
North Vancouver Island,PMZ,Protection,"Important habitat and species, in particular a significant and unique glass sponge reef formation, which includes a complex ecosystem, enabling a species-rich marine environment that supports the local biodiversity of the area. Contains critical habitat"
North Vancouver Island,PMZ,Protection,"The area is representative of shallow sill ecosystems of coral fans, sponges. Several deepwater and/or rare species including the gorgonian coral, the soft goblet sponge, the cloud sponge, the townsend eualid shrimp, and the bigmouth sculpin are found at"
North Vancouver Island,PMZ,Protection,"Considerable cultural modification by First Nations based on use of important marine species and habitat.  Ongoing practices and teachings, restoration of First Nations’ cultural resources, and their associated marine species and habitats, and for repa"
North Vancouver Island,PMZ,Protection,"Important marine species, habitats, First Nations’ cultural resources such as cultural tourism, loxiwe, shell middens, and former seasonal village/resource processing site."
North Vancouver Island,PMZ,Protection,"High marine recreational values, containing important marine species and habitats including important areas for herring and northern resident killer whales. Area includes First Nations’ cultural resources uses and activities such as cultural tourism, l"
North Vancouver Island,PMZ,Protection,"A diverse marine ecosystem, with important marine species and habitat. Important recreation and tourism area which includes several scuba diving sites. Includes important areas for humpback and and northern resident killer whales, herring and sea otters."
North Vancouver Island,PMZ,Protection,Marine species and habitats including those of cultural importance to First Nations. Connects existing conservation and protection areas and provides network/corridor between the Central Coast and NVI marine plans to assist in conservation and protection
North Vancouver Island,PMZ,Protection,Important marine species and habitats including herring important areas. Protection of representative marine ecosystems at the confluence of three channels supporting rich intertidal species and habitats.
