order_no,issued_date,closes_area,closure_type,closes_edit
PTN-2014-96,2014-03-03,"SA  12-6, 12-16, 12-17, 12-22, 12-23, 12-26,",biotoxins,"sa 12~6, 12~16, 12~17, 12~22, 12~23, 12~26,"
PSN-2014-100,2014-03-14,"Area 24, new closures 24.11 and amended 24.17 WWTP closures",sanitary closure,"area 24, new closures 24~11 and amended 24~17 wwtp closures"
PSN-2014-101,2014-03-14,"Area 1, amended closure 1.2 WWTP closures",sanitary closure,"area 1, amended closure 1~2 wwtp closures"
PSN-2014-102,2014-03-14,"Area 2, amended closure 2.1 WWTP closures",sanitary closure,"area 2, amended closure 2~1 wwtp closures"
PTN-2014-103,2014-03-07,"Area 7, except SA 7-17 and 7-24",biotoxins,"area 7, except sa 7~17 and 7~24"
PTN-2014-104,2014-03-07,SA 7-17 and 7-24,biotoxins,sa 7~17 and 7~24
PTN-2014-110,2014-03-13,Area 5 except 5-11 and 5-20,biotoxins,area 5 except 5~11 and 5~20
PTN-2014-111,2014-03-13,SA 5-11 and 5-20,biotoxins,sa 5~11 and 5~20
PTN-2014-112,2014-03-13,"Area 7, except SA 7-13, 7-14, 7-17 and 7-24",biotoxins,"area 7, except sa 7~13, 7~14, 7~17 and 7~24"
PTN-2014-113,2014-03-13,"SA 7-13, 7-14, 7-17 and 7-24",biotoxins,"sa 7~13, 7~14, 7~17 and 7~24"
PTN-2014-114,2014-03-18,"Area 7, except SA 7-14, 7-17 and 7-24",biotoxins,"area 7, except sa 7~14, 7~17 and 7~24"
PTN-2014-115,2014-03-18,"SA 7-14, 7-17 and 7-24",biotoxins,"sa 7~14, 7~17 and 7~24"
PTN-2014-118,2014-03-21,"Area 12, except SA 12-6, 12-16, 12-17, 12-22, 12-23, 12-26, 12-39, 12-41 and potion of 12-42 south of a line from a point on land at 50 degrees 56.14 min …",biotoxins,"area 12, except sa 12~6, 12~16, 12~17, 12~22, 12~23, 12~26, 12~39, 12~41 and potion of 12~42 south of a line from a point on land at 50 degrees 56~14 min …"
PTN-2014-119,2014-03-21,"SA  12-6, 12-16, 12-17, 12-22, 12-23, 12-26, and potion 12-42",biotoxins,"sa 12~6, 12~16, 12~17, 12~22, 12~23, 12~26, and potion 12~42"
PTN-2014-120,2014-03-26,"Area 5 except 5-11, 5-20 and 5-22",biotoxins,"area 5 except 5~11, 5~20 and 5~22"
PTN-2014-121,2014-03-26,"SA 5-11, 5-20, 5-22",biotoxins,"sa 5~11, 5~20, 5~22"
PTN-2014-122,2014-03-28,Area 7,biotoxins,area 7
PTN-2014-123,2014-04-02,"Area 20, except 20-6 and 20-7",biotoxins,"area 20, except 20~6 and 20~7"
PTN-2014-125,2014-04-09,"Area 23, except SA 23-4, 23-5, 23-8, 23-10",biotoxins,"area 23, except sa 23~4, 23~5, 23~8, 23~10"
PTN-2014-126,2014-04-09,"SA 23-4, 23-5, 23-8, 23-10",biotoxins,"sa 23~4, 23~5, 23~8, 23~10"
PTN-2014-129,2014-04-11,"Area 23, except SA 23-4, 23-8, 23-10 AND PTN 23-6 (USELESS INLET)",biotoxins,"area 23, except sa 23~4, 23~8, 23~10 and ptn 23~6 (useless inlet)"
PTN-2014-130,2014-04-11,"SA 23-4, 23-8, 23-10 AND PTN OF 23-6 (USELESS INLET)",biotoxins,"sa 23~4, 23~8, 23~10 and ptn of 23~6 (useless inlet)"
PTN-2014-133,2014-04-17,"Area 1, except sa 1-5",biotoxins,"area 1, except sa 1~5"
PTN-2014-134,2014-04-17,SA 1-5,biotoxins,sa 1~5
PTN-2014-135,2014-04-17,"Area 12, except SA 12-16, 12-17",biotoxins,"area 12, except sa 12~16, 12~17"
PTN-2014-136,2014-04-17,"SA 12-16, 12-17",biotoxins,"sa 12~16, 12~17"
PTN-2014-138,2014-04-17,"SA 24-4, 24-6, 24-7, 24-13 AND 24-14 and ptn of 24-3 (Shelter Inlet)",biotoxins,"sa 24~4, 24~6, 24~7, 24~13 and 24~14 and ptn of 24~3 (shelter inlet)"
ptn-2014-139,2014-04-24,Area 12,biotoxins,area 12
PTN-2014-140,2014-04-24,"Area 23, except SA 23-4, 23-8, 23-10",biotoxins,"area 23, except sa 23~4, 23~8, 23~10"
PTN-2014-141,2014-04-24,"SA 23-4, 23-8, 23-10",biotoxins,"sa 23~4, 23~8, 23~10"
PTN-2014-142,2014-04-24,"Area 5 except 5-11, 5-20, 5-21",biotoxins,"area 5 except 5~11, 5~20, 5~21"
PTN-2014-143,2014-04-24,"SA 5-11, 5-20, 5-21",biotoxins,"sa 5~11, 5~20, 5~21"
PTN-2014-146,2014-04-29,"Area 23, except SA 23-4, 23-8, 23-10 and PTNs 23-6 (USELESS INLET and Effigham INLET)",biotoxins,"area 23, except sa 23~4, 23~8, 23~10 and ptns 23~6 (useless inlet and effigham inlet)"
PTN-2014-147,2014-04-29,"SA 23-4, 23-8, 23-10 and PTNS OF 23-6 (USELESS INLET & EFFIgham inlet)",biotoxins,"sa 23~4, 23~8, 23~10 and ptns of 23~6 (useless inlet & effigham inlet)"
PTN-2014-148,2014-04-30,"Area 12, EXCEPT FOR SA 12-16 AND 12-17",biotoxins,"area 12, except for sa 12~16 and 12~17"
PTN-2014-149,2014-04-30,SA 12-16 AND 12-17,biotoxins,sa 12~16 and 12~17
PTN-2014-150,2014-04-30,Area 24 except 24-8 AND 24-9,biotoxins,area 24 except 24~8 and 24~9
PTN-2014-153,2014-05-01,Area 1,biotoxins,area 1
PTN-2014-154,2014-05-08,"Area 1, except SA 1-5",biotoxins,"area 1, except sa 1~5"
PTN-2014-155,2014-05-08,SA 1-5,biotoxins,sa 1~5
PTN-2014-156,2014-05-08,"Area 5 except 5-11, 5-20",biotoxins,"area 5 except 5~11, 5~20"
PTN-2014-157,2014-05-08,"SA 5-11, 5-20",biotoxins,"sa 5~11, 5~20"
PTN-2014-158,2014-05-13,Area 12,biotoxins,area 12
PTN-2014-160,2014-05-13,SA 18-10,biotoxins,sa 18~10
PTN-2014-162,2014-05-13,"SA 24-4, 24-6, 24-7, 24-13 AND 24-14 and ptn of 24-3 (Shelter Inlet)",biotoxins,"sa 24~4, 24~6, 24~7, 24~13 and 24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-163,2014-05-16,Area 12 except SA 12-16 and 12-17,biotoxins,area 12 except sa 12~16 and 12~17
PTN-2014-164,2014-05-16,SA 12-16 and 12-17,biotoxins,sa 12~16 and 12~17
PTN-2014-167,2014-05-16,"Area 23, except SA 23-4, 23-8, 23-10 and PTNs 23-6 (USELESS INLET and Effigham INLET)",biotoxins,"area 23, except sa 23~4, 23~8, 23~10 and ptns 23~6 (useless inlet and effigham inlet)"
PTN-2014-168,2014-05-16,"SA 23-4, 23-8, 23-10 and PTNS OF 23-6 (USELESS INLET & EFFIgham inlet)",biotoxins,"sa 23~4, 23~8, 23~10 and ptns of 23~6 (useless inlet & effigham inlet)"
PTN-2014-169,2014-05-16,Area 24 except 24-8 and 24-9,biotoxins,area 24 except 24~8 and 24~9
PCH-2014-170,2014-05-21,Area 6-roll over,chemical closure,area xx over
PSN-2014-171,2014-05-21,"Area 7, roll-over",sanitary closure,"area 7, roll-over"
PSN-2014-172,2014-05-21,"Area 6, roll-over",sanitary closure,"area 6, roll-over"
PCH-2014-173,2014-05-21,"Area 4, roll-over",chemical closure,"area 4, roll-over"
PSN-2014-174,2014-05-21,"Area 5, roll-over",sanitary closure,"area 5, roll-over"
PSN-2014-175,2014-05-21,"Area 8, roll-over",sanitary closure,"area 8, roll-over"
PSN-2014-176,2014-05-21,Area 14 (14.ff)-roll-over,sanitary closure,area 14 (xx)-roll-over
PSN-2014-177,2014-05-21,"Aquaculture, floathom baseline, roll-over",sanitary closure,"aquaculture, floathom baseline, roll-over"
PSN-2014-178,2014-05-21,"Area 20, roll-over",sanitary closure,"area 20, roll-over"
PSN-2014-179,2014-05-21,"Area 3, roll-over",sanitary closure,"area 3, roll-over"
PSN-2014-180,2014-05-21,"Area 19, roll-over",sanitary closure,"area 19, roll-over"
PSN-2014-181,2014-05-21,"Area 23, roll-over",sanitary closure,"area 23, roll-over"
PSN-2014-182,2014-05-21,"Area 28, roll-over",sanitary closure,"area 28, roll-over"
PSN-2014-183,2014-05-21,"Area 29, roll-over",sanitary closure,"area 29, roll-over"
PSN-2014-184,2014-05-21,Area 25 (25.aa) roll-over,sanitary closure,area 25 (xx) roll-over
PSN-2014-185,2014-05-21,"Area 4, roll-over",sanitary closure,"area 4, roll-over"
PSN-2014-186,2014-05-21,"Area 26, roll-over",sanitary closure,"area 26, roll-over"
PSN-2014-187,2014-05-21,"Area 27, roll-over",sanitary closure,"area 27, roll-over"
PTN-2014-188,2014-05-22,"Area 6, except 6-13",biotoxins,"area 6, except 6~13"
PTN-2014-189,2014-05-22,SA 6-13,biotoxins,sa 6~13
PTN-2014-191,2014-05-22,SA 13-1,biotoxins,sa 13~1
PTN-2014-195,2014-05-22,"SA 15-1, 15-4, 15-5 and otn 15-5 (15.B and 15.C)",biotoxins,"sa 15~1, 15~4, 15~5 and otn 15~5 (xx and xx)"
PTN-2014-198,2014-05-22,SA 106-2,biotoxins,sa 106~2
PSN-2014-199,2014-05-29,"Area 14, revoke 14.7",sanitary closure,"area 14, revoke 14~7"
PSN-2014-200,2014-05-29,"Area 19, reduce 19.3",sanitary closure,"area 19, reduce 19~3"
PSN-2014-F-201,2014-05-29,"Area 23, new floathome closures 23.28, 24.12 and 24.13, 26.23 and 26.24",sanitary closure,"area 23, new floathome closures 23~28, 24~12 and 24~13, 26~23 and 26~24"
PSN-2014-202,2014-05-29,"Area 24, expands 24.1",sanitary closure,"area 24, expands 24~1"
PSN-2014-203,2014-05-29,"Area 25, new closure 25.28",sanitary closure,"area 25, new closure 25~28"
PSN-2014-204,2014-05-29,"Area 12, expands 12.30",sanitary closure,"area 12, expands 12~30"
PTN-2014-207,2014-05-23,"SA 24-4, 24-6, 24-7, 24-13 AND 24-14 and ptn of 24-3 (Shelter Inlet)",biotoxins,"sa 24~4, 24~6, 24~7, 24~13 and 24~14 and ptn of 24~3 (shelter inlet)"
PTN-20104-208,2014-05-23,"Area 23, except SA 23-3, 23-4, 23-8, 23-10 and PTNs 23-6 (USELESS INLET and Effigham INLET)",biotoxins,"area 23, except sa 23~3, 23~4, 23~8, 23~10 and ptns 23~6 (useless inlet and effigham inlet)"
PTN-2014-209,2014-05-23,"SA 23-3, 23-4, 23-8, 23-10 and PTNS OF 23-6 (USELESS INLET & EFFIgham inlet)",biotoxins,"sa 23~3, 23~4, 23~8, 23~10 and ptns of 23~6 (useless inlet & effigham inlet)"
PTN-2014-210,2014-05-26,Area 2 except SA 2-1,biotoxins,area 2 except sa 2~1
PTN-2014-211,2014-05-26,SA 2-1,biotoxins,sa 2~1
PTN-2014-214,2014-05-26,"SA 16-3, 16-4, 16-10, 6-17, 16-18",biotoxins,"sa 16~3, 16~4, 16~10, 6~17, 16~18"
PTN-2014-216,2014-05-28,"SA 17-9, ptn 17-6",biotoxins,"sa 17~9, ptn 17~6"
PTN-2014-221,2014-06-03,Area 5,biotoxins,area 5
PTN-2014-223,2014-06-05,"SA 17-4, 17-5, ptn 17-6, 17-8, 7-10, 17-13, 17-15, 17-17",biotoxins,"sa 17~4, 17~5, ptn 17~6, 17~8, 7~10, 17~13, 17~15, 17~17"
ptn-2014-224,2014-06-05,"Area 18, exEPT 18-7",biotoxins,"area 18, exept 18~7"
PTN-2014-225,2014-06-05,SA 18-7,biotoxins,sa 18~7
ptn-2014-226,2014-06-05,"Area 23, except SA 23-3, 23-4, 23-8, 23-10",biotoxins,"area 23, except sa 23~3, 23~4, 23~8, 23~10"
ptn-2014-227,2014-06-05,"SA 23-3, 23-4, 23-8, 23-10",biotoxins,"sa 23~3, 23~4, 23~8, 23~10"
PTN-2014-228,2014-06-05,Area 24 except 24-9,biotoxins,area 24 except 24~9
ptn-2014-229,2014-06-05,SA  24-9,biotoxins,sa 24~9
PTN-2014-232,2014-06-05,"Area 26, except  26-6",biotoxins,"area 26, except 26~6"
PTN-2014-233,2014-06-05,SA 26-6,biotoxins,sa 26~6
PTN-2014-234,2014-06-05,Area 29,biotoxins,area 29
PTN-2014-235,2014-06-12,Area 6,biotoxins,area 6
PTN-2014-236,2014-06-12,Area 106,biotoxins,area 106
PTN-2014-237,2014-06-13,"Area 23, except SA 23-3, 23-4, 23-8, 23-10 and PTNs 23-6 ( Effigham INLET)",biotoxins,"area 23, except sa 23~3, 23~4, 23~8, 23~10 and ptns 23~6 ( effigham inlet)"
PTN-2014-238,2014-06-13,"SA 23-3, 23-4, 23-8, 23-10 and PTNS OF 23-6 ( EFFIgham inlet)",biotoxins,"sa 23~3, 23~4, 23~8, 23~10 and ptns of 23~6 ( effigham inlet)"
PTN-2014-239,2014-06-13,"Area 24 except 24-4, 24-6, 24-7, 24-9, 24-13, 24-14 AND PTN OF 24-3 (Shelter Inlet)",biotoxins,"area 24 except 24~4, 24~6, 24~7, 24~9, 24~13, 24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-240,2014-06-13,"SA 24-4, 24-6, 24-7, 24-13 AND 24-14 and ptn of 24-3 (Shelter Inlet)",biotoxins,"sa 24~4, 24~6, 24~7, 24~13 and 24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-241,2014-06-16,"Area 12 except SA 12-6, 12-8, 12-9, 12-16 and 12-17",biotoxins,"area 12 except sa 12~6, 12~8, 12~9, 12~16 and 12~17"
PTN-2014-242,2014-06-16,"SA 12-6, 12-8, 21-9",biotoxins,"sa 12~6, 12~8, 21~9"
PTN-2014-243,2014-06-16,SA 12-16 and 12-17,biotoxins,sa 12~16 and 12~17
PTN-2014-247,2014-06-18,"Subareas 16-11, 16-16 and 16-18",biotoxins,"subareas 16~11, 16~16 and 16~18"
PTN-2014-255,2014-06-23,"SA 23-3, 23-4, 23-10",biotoxins,"sa 23~3, 23~4, 23~10"
PTN-2014-256,2014-06-23,SA 23-8 and ptn 23-6 (effhingham inlet),biotoxins,sa 23~8 and ptn 23~6 (effhingham inlet)
PTN-2014-257,2014-06-23,SA 23-5 and ptn 23-6 (NOT effhigham inlet),biotoxins,sa 23~5 and ptn 23~6 (not effhigham inlet)
PTN-2014-258,2014-06-26,"Area 12 except SA 12-6, 12-8, 12-9, 12-16, 12-17 AND 12-41",biotoxins,"area 12 except sa 12~6, 12~8, 12~9, 12~16, 12~17 and 12~41"
PTN-2014-259,2014-06-26,"SA 12-6, 12-8, 12-9, 12-41",biotoxins,"sa 12~6, 12~8, 12~9, 12~41"
PTN-2014-261,2014-06-27,"SA 16-11, 16-16 and 16-18",biotoxins,"sa 16~11, 16~16 and 16~18"
PTN-2014-263,2014-06-27,"Area 23, except SA 23-3, 23-4, 23-8, 23-10",biotoxins,"area 23, except sa 23~3, 23~4, 23~8, 23~10"
PTN-2014-264,2014-06-27,"SA 23-3, 23-4, 23-8, 23-10",biotoxins,"sa 23~3, 23~4, 23~8, 23~10"
PTN-2014-265,2014-06-27,"Area 24 except 24-4, 24-9",biotoxins,"area 24 except 24~4, 24~9"
PTN-2014-266,2014-06-27,"SA 24-4, 24-6, 24-7, 24-13 AND 24-14 and ptn of 24-3 (Shelter Inlet)",biotoxins,"sa 24~4, 24~6, 24~7, 24~13 and 24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-267,2014-06-27,Area 26,biotoxins,area 26
PTN-2014-271,2014-06-30,"Area 23, except SA  23-3, 23-4, 23-8, 23-10 ptn 23-6 effigham inlet",biotoxins,"area 23, except sa 23~3, 23~4, 23~8, 23~10 ptn 23~6 effigham inlet"
PTN-2014-272,2014-06-30,SA  ptn 23-6 (effhingham inlet),biotoxins,sa ptn 23~6 (effhingham inlet)
PTN-2014-275,2014-07-03,"SA 17-4 to17-6, 17-8, 17-10, 17-13, 17-15, 17-17",biotoxins,"sa 17~4 to17~6, 17~8, 17~10, 17~13, 17~15, 17~17"
PTN-2014-276,2014-07-03,Area 18,biotoxins,area 18
PTN-2014-277,2014-07-04,"Area 24, except 24-4",biotoxins,"area 24, except 24~4"
ptn-2014-280,2014-07-09,"Area 24, except 24-4 and 24-9",biotoxins,"area 24, except 24~4 and 24~9"
PTN-2014-281,2014-07-09,SA 24-4 and 24-9,biotoxins,sa 24~4 and 24~9
PTN-2014-282,2014-07-10,Area 18 except SA 18-7,biotoxins,area 18 except sa 18~7
PTN-2014-283,2014-07-10,SA 18-7,biotoxins,sa 18~7
PTN-2014-284,2014-07-14,"Area 24, except 24-4, 24-9, 24-13, 24-13 AND PORTION OF 24-3 (SHELTER INLET)",biotoxins,"area 24, except 24~4, 24~9, 24~13, 24~13 and portion of 24~3 (shelter inlet)"
PTN-2014-285,2014-07-14,"SA 24-4, 24-13 AND 24-14 and ptn of 24-3 (Shelter Inlet)",biotoxins,"sa 24~4, 24~13 and 24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-288,2014-07-16,Area 12 except SA  12-16 AND 12-17,biotoxins,area 12 except sa 12~16 and 12~17
PTN-2014-289,2014-07-16,SA 12-16 and 12-17,biotoxins,sa 12~16 and 12~17
PTN-2014-292,2014-07-17,SA 2-1,biotoxins,sa 2~1
PTN-2014-295,2014-07-18,SA 2-1,biotoxins,sa 2~1
PTN-2014-297,2014-07-18,"Area 24, except 24-9",biotoxins,"area 24, except 24~9"
PTN-2014-300,2014-07-24,Area 12,biotoxins,area 12
PTN-2014-301,2014-07-24,"Area 24, except 24-4, 24-9,24-13, 24-14 AND PORTION OF 24-3 (SHELTER INLET)",biotoxins,"area 24, except 24~4, 24~9,24~13, 24~14 and portion of 24~3 (shelter inlet)"
PTN-2014-302,2014-07-24,"SA 24-4, 24-13 AND 24-14 and ptn of 24-3 (Shelter Inlet)",biotoxins,"sa 24~4, 24~13 and 24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-305,2014-07-25,SA 25-6 and 25-12,biotoxins,sa 25~6 and 25~12
PTN-2014-306,2014-07-25,SA 25-13 and 25-15,biotoxins,sa 25~13 and 25~15
PTN-2014-307,2014-07-31,Area 12,biotoxins,area 12
PTN-2014-308,2014-07-31,SA 12-16 and 12-17,biotoxins,sa 12~16 and 12~17
PTN-2014-309,2014-08-06,"Area 26, except Subareas 26-1 and 26-6",biotoxins,"area 26, except subareas 26~1 and 26~6"
PTN-2014-310,2014-08-06,SA 26-1 and 26-6,biotoxins,sa 26~1 and 26~6
PTN-2014-311,2014-08-08,Area 12,biotoxins,area 12
PTN-2014-312,2014-08-08,"Area 23, except SA  23-3, 23-4, 23-8, 23-10",biotoxins,"area 23, except sa 23~3, 23~4, 23~8, 23~10"
PTN-2014-313,2014-08-08,"Area 24, except 24-9",biotoxins,"area 24, except 24~9"
PTN-2014-315,2014-08-12,Subareas 16-2 and 16-17,biotoxins,subareas 16~2 and 16~17
PTN-2014-316,2014-08-12,"Area 29, except 29-1",biotoxins,"area 29, except 29~1"
PTN-2014-317,2014-08-12,Subarea 29-1,biotoxins,subarea 29~1
PTN-2014-318,2014-08-13,"Area 23, except SA  23-3, 23-4, 23-8, 23-9, 23-10",biotoxins,"area 23, except sa 23~3, 23~4, 23~8, 23~9, 23~10"
PTN-2014-319,2014-08-13,"SA  23-3, 23-4, 23-8",biotoxins,"sa 23~3, 23~4, 23~8"
PTN-2014-320,2014-08-13,SA 23-10,biotoxins,sa 23~10
PTN-2014-321,2014-08-13,SA 23-9,biotoxins,sa 23~9
PTN-2014-322,2014-08-19,"Area 23, except SA  23-3, 23-4, 23-8, 23-9, 23-10 and ptn 23-6 Useless Inlet",biotoxins,"area 23, except sa 23~3, 23~4, 23~8, 23~9, 23~10 and ptn 23~6 useless inlet"
PTN-2014-323,2014-08-19,"SA  23-3, 23-4, 24-6, 23-8 except Useless Inlet",biotoxins,"sa 23~3, 23~4, 24~6, 23~8 "
PTN-2014-325,2014-08-19,"SA 24-3, 24-4, 24-9, 24-13 and 24-14",biotoxins,"sa 24~3, 24~4, 24~9, 24~13 and 24~14"
PTN-2014-327,2014-08-22,"Area 23, except SA  23-3, 23-4, 23-8, 23-9, 23-10 and ptn 23-6 reverse Useless Inlet and reverse effigham inlet",biotoxins,"area 23, except sa 23~3, 23~4, 23~8, 23~9, 23~10 and ptn 23~6 reverse useless inlet and reverse effigham inlet"
PTN-2014-328,2014-08-22,"SA  23-3, 23-4, 24-6, 23-8 except Useless Inlet and Effigham inlet",biotoxins,"sa 23~3, 23~4, 24~6, 23~8 and effigham inlet"
PTN-2014-330,2014-08-26,SA 16-11 and 16-16,biotoxins,sa 16~11 and 16~16
PTN-2014-331,2014-08-27,"Area 23, except SA  23-3, 23-4, 23-8, 23-9, 23-10 and ptn 23-6 reverse Useless Inlet",biotoxins,"area 23, except sa 23~3, 23~4, 23~8, 23~9, 23~10 and ptn 23~6 reverse useless inlet"
PTN-2014-332,2014-08-27,"SA  23-3, 23-4, 24-6, 23-8 except Useless Inlet",biotoxins,"sa 23~3, 23~4, 24~6, 23~8 "
PTN-2014-333,2014-08-29,"Area 23, except SA  23-3, 23-4, 23-10 and ptn 23-6 Effingham Inlet",biotoxins,"area 23, except sa 23~3, 23~4, 23~10 and ptn 23~6 effingham inlet"
PTN-2014-334,2014-08-29,"SA  23-3, 23-4, 24-6, except Effingham Inlet",biotoxins,"sa 23~3, 23~4, 24~6, except effingham inlet"
PTN-2014-335,2014-08-29,Area 26,biotoxins,area 26
PTN-2014-338,2014-09-04,"SA 16-3, 16-4, 16-10, 16-11, 16-16 AND 16-18",biotoxins,"sa 16~3, 16~4, 16~10, 16~11, 16~16 and 16~18"
PTN-2014-341,2014-09-05,"SA 16-11, AND 16-16",biotoxins,"sa 16~11, and 16~16"
PTN-2014-344,2014-09-05,Area 29,biotoxins,area 29
PTN-2014-347,2014-09-11,"SA 16-3, 16-4, 16-10, 16-11, 16-16 AND 16-18",biotoxins,"sa 16~3, 16~4, 16~10, 16~11, 16~16 and 16~18"
PTN-2014-348,2014-09-11,Area 2,biotoxins,area 2
PTN-2014-349,2014-09-11,"Area 6, except 6-13",biotoxins,"area 6, except 6~13"
PTN-2014-350,2014-09-11,SA 6-13,biotoxins,sa 6~13
PTN-2014-351,2014-09-11,"Area 106, except 106-2",biotoxins,"area 106, except 106~2"
PTN-2014-352,2014-09-11,SA 106-2,biotoxins,sa 106~2
PTN-2014-353,2014-09-11,"Area 29, except 29-1",biotoxins,"area 29, except 29~1"
PTN-2014-354,2014-09-11,SA 29-1,biotoxins,sa 29~1
PTN-2014-357,2014-09-12,"Area 23, except SA  23-3, 23-4, 23-10",biotoxins,"area 23, except sa 23~3, 23~4, 23~10"
PTN-2014-358,2014-09-12,"SA  23-3, 23-4",biotoxins,"sa 23~3, 23~4"
PTN-2014-359,2014-09-15,"Area 2, except 2-1",biotoxins,"area 2, except 2~1"
PTN-2014-360,2014-09-15,SA 2-1,biotoxins,sa 2~1
PTN-2014-361,2014-09-19,"Area 23, except SA  23-3, 23-4, 23-10 and ptn 23-6 Effigham Inlet",biotoxins,"area 23, except sa 23~3, 23~4, 23~10 and ptn 23~6 effigham inlet"
PTN-2014-362,2014-09-19,"SA  23-3, 23-4 and ptn 23-6 Effigham Inlet",biotoxins,"sa 23~3, 23~4 and ptn 23~6 effigham inlet"
PTN-2014-367,2014-09-26,"SA 17-4, 17-5, PTN OF SA 17-6 (KUPER ISLAND), 17-8, 17-10, 17-13, 17-15, 17-17",biotoxins,"sa 17~4, 17~5, ptn of sa 17~6 (kuper island), 17~8, 17~10, 17~13, 17~15, 17~17"
PTN-2014-368,2014-09-26,"Area 23, except SA  23-3, 24-4, 23-10",biotoxins,"area 23, except sa 23~3, 24~4, 23~10"
PTN-2014-369,2014-09-26,SA  23-3 and 23-4,biotoxins,sa 23~3 and 23~4
PTN-2014-370,2014-09-26,"Area 24, except 24-8, 24-9",biotoxins,"area 24, except 24~8, 24~9"
PTN-2014-371,2014-09-26,SA 24-9,biotoxins,sa 24~9
PTN-2014-372,2014-09-26,SA 24-8,biotoxins,sa 24~8
PTN-2014-374,2014-09-26,"SA 17-4, 17-5, 17-10, 17-13, 17-15, 17-17",biotoxins,"sa 17~4, 17~5, 17~10, 17~13, 17~15, 17~17"
PTN-2014-375,2014-09-29,Area 1,biotoxins,area 1
PTN-2014-379,2014-10-02,"Area 1, except SA 1-5",biotoxins,"area 1, except sa 1~5"
PTN-2014-380,2014-10-02,SA 1-5,biotoxins,sa 1~5
PTN-2014-382,2014-10-03,"SA 25-4, 25-5, 25-7 and 25-8",biotoxins,"sa 25~4, 25~5, 25~7 and 25~8"
PTN-2014-383,2014-10-03,SA 25-6,biotoxins,sa 25~6
PTN-2014-384,2014-10-03,SA  25-15,biotoxins,sa 25~15
PTN-2014-385,2014-10-03,"Area 6, except SA 6-10, 6-12 and 6-13",biotoxins,"area 6, except sa 6~10, 6~12 and 6~13"
PTN-2014-386,2014-10-03,"SA 6-10, 6-12 6-13",biotoxins,"sa 6~10, 6~12 6~13"
PTN-2014-388,2014-10-06,"SA ptn 24-3, 24-4, 24-9, 24-13, 24-14",biotoxins,"sa ptn 24~3, 24~4, 24~9, 24~13, 24~14"
PTN-2014-394,2014-10-10,SA 25-6 and 25-12,biotoxins,sa 25~6 and 25~12
PTN-2014-395,2014-10-10,SA  25-13 and 25-15,biotoxins,sa 25~13 and 25~15
PSN-2014-396,2014-10-14,Area 14: Close Baynes Sound Section B,sanitary closure,area 14: close baynes sound section b
PSN-2014-397,2014-10-14,Area 14: Close Baynes Sound Section C,sanitary closure,area 14: close baynes sound section c
PTN-2014-399,2014-10-17,Area 1,biotoxins,area 1
PTN-2014-401,2014-10-17,"SA 17-4, 17-5, portion of 17-6 (west Kuper Island), 17-10, 17-13, 17-15, 17-17",biotoxins,"sa 17~4, 17~5, portion of 17~6 (west kuper island), 17~10, 17~13, 17~15, 17~17"
PTN-2014-403,2014-10-17,"Area 23 except SA 23-3, 23-4",biotoxins,"area 23 except sa 23~3, 23~4"
PTN-2014-404,2014-10-17,"SA 23-3, 23-4",biotoxins,"sa 23~3, 23~4"
PTN-2014-405,2014-10-17,"Area 24, except SA 24-8 and 24-9",biotoxins,"area 24, except sa 24~8 and 24~9"
PTN-2014-406,2014-10-17,SA 24-94,biotoxins,sa 24~94
PTN-2014-407,2014-10-17,SA 24-8,biotoxins,sa 24~8
PTN-2014-410,2014-10-20,"Area 18 except SA 18-2, 18-3, 18-7",biotoxins,"area 18 except sa 18~2, 18~3, 18~7"
PTN-2014-411,2014-10-20,"SA 18-2, 18-3, 18-7",biotoxins,"sa 18~2, 18~3, 18~7"
PTN-2014-415,2014-10-20,"SA 24-4, 24-9, 24-13, 24-14 and ptn 24-3 (Dixon Point)",biotoxins,"sa 24~4, 24~9, 24~13, 24~14 and ptn 24~3 (dixon point)"
PTN-2014-417,2014-10-21,Area 1 except SA 1-5,biotoxins,area 1 except sa 1~5
PTN-2014-418,2014-10-21,SA 1-5,biotoxins,sa 1~5
PSN-2014-419,2014-10-22,Baynes Sound 14.22 Section A,sanitary closure,baynes sound 14~22 section a
PTN-2014-421,2014-10-24,"SA 16-11, 16-16",biotoxins,"sa 16~11, 16~16"
PTN-2014-422,2014-10-24,"Area 23 except SA 23-3, ptn 23-6 (Useless Inlet)",biotoxins,"area 23 except sa 23~3, ptn 23~6 (useless inlet)"
PTN-2014-423,2014-10-24,"SA 23-3, ptn 23-6 (Useless Inlet)",biotoxins,"sa 23~3, ptn 23~6 (useless inlet)"
PTN-2014-425,2014-10-24,SA 24-9,biotoxins,sa 24~9
PTN-2014-426,2014-10-24,Area 29,biotoxins,area 29
PTN-2014-427,2014-10-28,Area 23 except SA 23-3,biotoxins,area 23 except sa 23~3
PTN-2014-428,2014-10-28,SA 23-3,biotoxins,sa 23~3
