csd_id,csd_name,topic,characteristic,total,year
5915015,RICHMOND,Selected Household Characteristics,"Median household income, 2000 ($) - All households",50060,2001
5915020,GREATER VANCOUVER A,Labour Force Indicators,Unemployment rate,11.4,2001
5915020,GREATER VANCOUVER A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",49979,2001
5915022,VANCOUVER,Labour Force Indicators,Unemployment rate,8.3,2001
5915022,VANCOUVER,Selected Household Characteristics,"Median household income, 2000 ($) - All households",42026,2001
5915025,BURNABY,Labour Force Indicators,Unemployment rate,8.3,2001
5915025,BURNABY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44754,2001
5915029,NEW WESTMINSTER,Labour Force Indicators,Unemployment rate,7.7,2001
5915029,NEW WESTMINSTER,Selected Household Characteristics,"Median household income, 2000 ($) - All households",40784,2001
5915034,COQUITLAM,Labour Force Indicators,Unemployment rate,7,2001
5915034,COQUITLAM,Selected Household Characteristics,"Median household income, 2000 ($) - All households",52657,2001
5915036,BELCARRA,Labour Force Indicators,Unemployment rate,3.7,2001
5915036,BELCARRA,Selected Household Characteristics,"Median household income, 2000 ($) - All households",100995,2001
5915038,ANMORE,Labour Force Indicators,Unemployment rate,5.1,2001
5915038,ANMORE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",70860,2001
5915039,PORT COQUITLAM,Labour Force Indicators,Unemployment rate,6.4,2001
5915039,PORT COQUITLAM,Selected Household Characteristics,"Median household income, 2000 ($) - All households",59926,2001
5915043,PORT MOODY,Labour Force Indicators,Unemployment rate,5.7,2001
5915043,PORT MOODY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",64932,2001
5915046,NORTH VANCOUVER,Labour Force Indicators,Unemployment rate,5.1,2001
5915046,NORTH VANCOUVER,Selected Household Characteristics,"Median household income, 2000 ($) - All households",70228,2001
5915051,NORTH VANCOUVER,Labour Force Indicators,Unemployment rate,7,2001
5915051,NORTH VANCOUVER,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44095,2001
5915055,WEST VANCOUVER,Labour Force Indicators,Unemployment rate,5.3,2001
5915055,WEST VANCOUVER,Selected Household Characteristics,"Median household income, 2000 ($) - All households",75582,2001
5915062,BOWEN ISLAND,Labour Force Indicators,Unemployment rate,4.9,2001
5915062,BOWEN ISLAND,Selected Household Characteristics,"Median household income, 2000 ($) - All households",64979,2001
5915065,LIONS BAY,Labour Force Indicators,Unemployment rate,4.1,2001
5915065,LIONS BAY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",92510,2001
5915070,PITT MEADOWS,Labour Force Indicators,Unemployment rate,6.5,2001
5915070,PITT MEADOWS,Selected Household Characteristics,"Median household income, 2000 ($) - All households",57892,2001
5915075,MAPLE RIDGE,Labour Force Indicators,Unemployment rate,6.2,2001
5915075,MAPLE RIDGE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",55632,2001
5915801,SEMIAHMOO,Labour Force Indicators,Unemployment rate,23.1,2001
5915801,SEMIAHMOO,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5915802,TSAWWASSEN,Labour Force Indicators,Unemployment rate,5.5,2001
5915802,TSAWWASSEN,Selected Household Characteristics,"Median household income, 2000 ($) - All households",74874,2001
5915803,MUSQUEAM 2,Labour Force Indicators,Unemployment rate,9.2,2001
5915803,MUSQUEAM 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",70937,2001
5915804,COQUITLAM 2,Labour Force Indicators,Unemployment rate,NA,2001
5915804,COQUITLAM 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5915805,COQUITLAM 1,Labour Force Indicators,Unemployment rate,NA,2001
5915805,COQUITLAM 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5915806,BURRARD INLET 3,Labour Force Indicators,Unemployment rate,8,2001
5915806,BURRARD INLET 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",67202,2001
5915807,MISSION 1,Labour Force Indicators,Unemployment rate,NA,2001
5915807,MISSION 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5915808,CAPILANO 5,Labour Force Indicators,Unemployment rate,11.8,2001
5915808,CAPILANO 5,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32571,2001
5915809,BARNSTON ISLAND 3,Labour Force Indicators,Unemployment rate,0,2001
5915809,BARNSTON ISLAND 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5915810,MUSQUEAM 4,Labour Force Indicators,Unemployment rate,NA,2001
5915810,MUSQUEAM 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5915811,SEYMOUR CREEK 2,Labour Force Indicators,Unemployment rate,28.6,2001
5915811,SEYMOUR CREEK 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5915813,KATZIE 2,Labour Force Indicators,Unemployment rate,NA,2001
5915813,KATZIE 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5915816,MCMILLAN ISLAND 6,Labour Force Indicators,Unemployment rate,0,2001
5915816,MCMILLAN ISLAND 6,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5915825,MATSQUI 4,Labour Force Indicators,Unemployment rate,0,2001
5915825,MATSQUI 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",26487,2001
5915830,KATZIE 1,Labour Force Indicators,Unemployment rate,31.6,2001
5915830,KATZIE 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5915835,LANGLEY 5,Labour Force Indicators,Unemployment rate,NA,2001
5915835,LANGLEY 5,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5915840,WHONNOCK 1,Labour Force Indicators,Unemployment rate,NA,2001
5915840,WHONNOCK 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5917005,NORTH SAANICH,Labour Force Indicators,Unemployment rate,4.3,2001
5917005,NORTH SAANICH,Selected Household Characteristics,"Median household income, 2000 ($) - All households",71711,2001
5917010,SIDNEY,Labour Force Indicators,Unemployment rate,6,2001
5917010,SIDNEY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44013,2001
5917015,CENTRAL SAANICH,Labour Force Indicators,Unemployment rate,4,2001
5917015,CENTRAL SAANICH,Selected Household Characteristics,"Median household income, 2000 ($) - All households",61486,2001
5917021,SAANICH,Labour Force Indicators,Unemployment rate,6.1,2001
5917021,SAANICH,Selected Household Characteristics,"Median household income, 2000 ($) - All households",52099,2001
5917027,CAPITAL F,Labour Force Indicators,Unemployment rate,6.2,2001
5917027,CAPITAL F,Selected Household Characteristics,"Median household income, 2000 ($) - All households",40852,2001
5917029,CAPITAL G,Labour Force Indicators,Unemployment rate,6.4,2001
5917029,CAPITAL G,Selected Household Characteristics,"Median household income, 2000 ($) - All households",35131,2001
5917030,OAK BAY,Labour Force Indicators,Unemployment rate,5.6,2001
5917030,OAK BAY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",58905,2001
5917034,VICTORIA,Labour Force Indicators,Unemployment rate,8.6,2001
5917034,VICTORIA,Selected Household Characteristics,"Median household income, 2000 ($) - All households",34334,2001
5917040,ESQUIMALT,Labour Force Indicators,Unemployment rate,7.2,2001
5917040,ESQUIMALT,Selected Household Characteristics,"Median household income, 2000 ($) - All households",40101,2001
5917041,COLWOOD,Labour Force Indicators,Unemployment rate,4.9,2001
5917041,COLWOOD,Selected Household Characteristics,"Median household income, 2000 ($) - All households",59987,2001
5917042,METCHOSIN,Labour Force Indicators,Unemployment rate,6.4,2001
5917042,METCHOSIN,Selected Household Characteristics,"Median household income, 2000 ($) - All households",57044,2001
5917044,LANGFORD,Labour Force Indicators,Unemployment rate,5.6,2001
5917044,LANGFORD,Selected Household Characteristics,"Median household income, 2000 ($) - All households",51173,2001
5917047,VIEW ROYAL,Labour Force Indicators,Unemployment rate,6.2,2001
5917047,VIEW ROYAL,Selected Household Characteristics,"Median household income, 2000 ($) - All households",54950,2001
5917049,HIGHLANDS,Labour Force Indicators,Unemployment rate,4,2001
5917049,HIGHLANDS,Selected Household Characteristics,"Median household income, 2000 ($) - All households",72637,2001
5917052,SOOKE,Labour Force Indicators,Unemployment rate,7,2001
5917052,SOOKE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44921,2001
5917054,CAPITAL H (PART 1),Labour Force Indicators,Unemployment rate,7,2001
5917054,CAPITAL H (PART 1),Selected Household Characteristics,"Median household income, 2000 ($) - All households",46471,2001
5917056,CAPITAL H (PART 2),Labour Force Indicators,Unemployment rate,0,2001
5917056,CAPITAL H (PART 2),Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5917801,COLE BAY 3,Labour Force Indicators,Unemployment rate,31.6,2001
5917801,COLE BAY 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",18496,2001
5917802,UNION BAY 4,Labour Force Indicators,Unemployment rate,28.6,2001
5917802,UNION BAY 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5917803,EAST SAANICH 2,Labour Force Indicators,Unemployment rate,10.9,2001
5917803,EAST SAANICH 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",33948,2001
5917804,SOUTH SAANICH 1,Labour Force Indicators,Unemployment rate,29.7,2001
5917804,SOUTH SAANICH 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",24518,2001
5917805,GALIANO ISLAND 9,Labour Force Indicators,Unemployment rate,NA,2001
5917805,GALIANO ISLAND 9,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5917806,MAYNE ISLAND 6,Labour Force Indicators,Unemployment rate,NA,2001
5917806,MAYNE ISLAND 6,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5917809,BECHER BAY 1,Labour Force Indicators,Unemployment rate,20,2001
5917809,BECHER BAY 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5917811,ESQUIMALT,Labour Force Indicators,Unemployment rate,NA,2001
5917811,ESQUIMALT,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5917812,NEW SONGHEES 1A,Labour Force Indicators,Unemployment rate,13.4,2001
5917812,NEW SONGHEES 1A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32371,2001
5917815,GORDON RIVER 2,Labour Force Indicators,Unemployment rate,25,2001
5917815,GORDON RIVER 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5917816,PACHEENA 1,Labour Force Indicators,Unemployment rate,NA,2001
5917816,PACHEENA 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5917817,T'SOU-KE 1 (SOOKE 1),Labour Force Indicators,Unemployment rate,0,2001
5917817,T'SOU-KE 1 (SOOKE 1),Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5917818,T'SOU-KE 2 (SOOKE 2),Labour Force Indicators,Unemployment rate,0,2001
5917818,T'SOU-KE 2 (SOOKE 2),Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5919008,NORTH COWICHAN,Labour Force Indicators,Unemployment rate,9.4,2001
5919008,NORTH COWICHAN,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44295,2001
5919012,DUNCAN,Labour Force Indicators,Unemployment rate,14.2,2001
5919012,DUNCAN,Selected Household Characteristics,"Median household income, 2000 ($) - All households",28158,2001
5919013,COWICHAN VALLEY D,Labour Force Indicators,Unemployment rate,7.8,2001
5919013,COWICHAN VALLEY D,Selected Household Characteristics,"Median household income, 2000 ($) - All households",43619,2001
5919015,COWICHAN VALLEY G,Labour Force Indicators,Unemployment rate,7.5,2001
5919015,COWICHAN VALLEY G,Selected Household Characteristics,"Median household income, 2000 ($) - All households",46167,2001
5919016,LAKE COWICHAN,Labour Force Indicators,Unemployment rate,16.2,2001
5919016,LAKE COWICHAN,Selected Household Characteristics,"Median household income, 2000 ($) - All households",34882,2001
5919017,COWICHAN VALLEY H,Labour Force Indicators,Unemployment rate,7.2,2001
5919017,COWICHAN VALLEY H,Selected Household Characteristics,"Median household income, 2000 ($) - All households",49109,2001
5919021,LADYSMITH,Labour Force Indicators,Unemployment rate,10.7,2001
5919021,LADYSMITH,Selected Household Characteristics,"Median household income, 2000 ($) - All households",42440,2001
5919033,COWICHAN VALLEY F,Labour Force Indicators,Unemployment rate,11.7,2001
5919033,COWICHAN VALLEY F,Selected Household Characteristics,"Median household income, 2000 ($) - All households",39838,2001
5919035,COWICHAN VALLEY I,Labour Force Indicators,Unemployment rate,14.8,2001
5919035,COWICHAN VALLEY I,Selected Household Characteristics,"Median household income, 2000 ($) - All households",38887,2001
5919043,COWICHAN VALLEY A,Labour Force Indicators,Unemployment rate,9,2001
5919043,COWICHAN VALLEY A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",50123,2001
5919046,COWICHAN VALLEY B,Labour Force Indicators,Unemployment rate,4.9,2001
5919046,COWICHAN VALLEY B,Selected Household Characteristics,"Median household income, 2000 ($) - All households",56568,2001
5919049,COWICHAN VALLEY C,Labour Force Indicators,Unemployment rate,6.8,2001
5919049,COWICHAN VALLEY C,Selected Household Characteristics,"Median household income, 2000 ($) - All households",55568,2001
5919051,COWICHAN VALLEY E,Labour Force Indicators,Unemployment rate,9.2,2001
5919051,COWICHAN VALLEY E,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44180,2001
5919801,HALALT 2,Labour Force Indicators,Unemployment rate,30,2001
5919801,HALALT 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5919802,SQUAW-HAY-ONE 11,Labour Force Indicators,Unemployment rate,0,2001
5919802,SQUAW-HAY-ONE 11,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5919803,TSUSSIE 6,Labour Force Indicators,Unemployment rate,66.7,2001
5919803,TSUSSIE 6,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5919804,CHEMAINUS 13,Labour Force Indicators,Unemployment rate,24.2,2001
5919804,CHEMAINUS 13,Selected Household Characteristics,"Median household income, 2000 ($) - All households",19456,2001
5919805,CLAOOSE 4,Labour Force Indicators,Unemployment rate,NA,2001
5919805,CLAOOSE 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5919806,COWICHAN 9,Labour Force Indicators,Unemployment rate,NA,2001
5919806,COWICHAN 9,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5919807,COWICHAN 1,Labour Force Indicators,Unemployment rate,32.4,2001
5919807,COWICHAN 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",22577,2001
5919808,KIL-PAH-LAS 3,Labour Force Indicators,Unemployment rate,NA,2001
5919808,KIL-PAH-LAS 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5919809,KUPER ISLAND 7,Labour Force Indicators,Unemployment rate,23.1,2001
5919809,KUPER ISLAND 7,Selected Household Characteristics,"Median household income, 2000 ($) - All households",17088,2001
5919810,LYACKSUN 3,Labour Force Indicators,Unemployment rate,NA,2001
5919810,LYACKSUN 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5919811,SHINGLE POINT 4,Labour Force Indicators,Unemployment rate,NA,2001
5919811,SHINGLE POINT 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5919812,COWICHAN LAKE,Labour Force Indicators,Unemployment rate,NA,2001
5919812,COWICHAN LAKE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5919814,MALACHAN 11,Labour Force Indicators,Unemployment rate,22.2,2001
5919814,MALACHAN 11,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5919815,MALAHAT 11,Labour Force Indicators,Unemployment rate,66.7,2001
5919815,MALAHAT 11,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5919816,OYSTER BAY 12,Labour Force Indicators,Unemployment rate,0,2001
5919816,OYSTER BAY 12,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5919817,PORTIER PASS 5,Labour Force Indicators,Unemployment rate,NA,2001
5919817,PORTIER PASS 5,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5919818,THEIK 2,Labour Force Indicators,Unemployment rate,NA,2001
5919818,THEIK 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5919819,WYAH 3,Labour Force Indicators,Unemployment rate,NA,2001
5919819,WYAH 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5921007,NANAIMO,Labour Force Indicators,Unemployment rate,11.8,2001
5921007,NANAIMO,Selected Household Characteristics,"Median household income, 2000 ($) - All households",39706,2001
5921010,NANAIMO A,Labour Force Indicators,Unemployment rate,12.8,2001
5921010,NANAIMO A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44316,2001
5921014,NANAIMO B,Labour Force Indicators,Unemployment rate,11.5,2001
5921014,NANAIMO B,Selected Household Characteristics,"Median household income, 2000 ($) - All households",30809,2001
5921016,NANAIMO C,Labour Force Indicators,Unemployment rate,7.8,2001
5921016,NANAIMO C,Selected Household Characteristics,"Median household income, 2000 ($) - All households",46457,2001
5921018,PARKSVILLE,Labour Force Indicators,Unemployment rate,9.7,2001
5921018,PARKSVILLE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",34793,2001
5921020,NANAIMO D,Labour Force Indicators,Unemployment rate,6.3,2001
5921020,NANAIMO D,Selected Household Characteristics,"Median household income, 2000 ($) - All households",56303,2001
5921023,QUALICUM BEACH,Labour Force Indicators,Unemployment rate,8.7,2001
5921023,QUALICUM BEACH,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44680,2001
5921030,NANAIMO E,Labour Force Indicators,Unemployment rate,7.6,2001
5921030,NANAIMO E,Selected Household Characteristics,"Median household income, 2000 ($) - All households",50684,2001
5921032,NANAIMO F,Labour Force Indicators,Unemployment rate,14.4,2001
5921032,NANAIMO F,Selected Household Characteristics,"Median household income, 2000 ($) - All households",35856,2001
5921034,NANAIMO G,Labour Force Indicators,Unemployment rate,8.1,2001
5921034,NANAIMO G,Selected Household Characteristics,"Median household income, 2000 ($) - All households",46340,2001
5921036,NANAIMO H,Labour Force Indicators,Unemployment rate,11.4,2001
5921036,NANAIMO H,Selected Household Characteristics,"Median household income, 2000 ($) - All households",34405,2001
5921801,NANAIMO RIVER 3,Labour Force Indicators,Unemployment rate,NA,2001
5921801,NANAIMO RIVER 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5921802,NANAIMO RIVER 2,Labour Force Indicators,Unemployment rate,NA,2001
5921802,NANAIMO RIVER 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5921803,NANAIMO RIVER 4,Labour Force Indicators,Unemployment rate,22.2,2001
5921803,NANAIMO RIVER 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5921804,NANAIMO TOWN 1,Labour Force Indicators,Unemployment rate,0,2001
5921804,NANAIMO TOWN 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5921805,NANOOSE,Labour Force Indicators,Unemployment rate,33.3,2001
5921805,NANOOSE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5921806,QUALICUM,Labour Force Indicators,Unemployment rate,0,2001
5921806,QUALICUM,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5923008,PORT ALBERNI,Labour Force Indicators,Unemployment rate,15.1,2001
5923008,PORT ALBERNI,Selected Household Characteristics,"Median household income, 2000 ($) - All households",36586,2001
5923019,UCLUELET,Labour Force Indicators,Unemployment rate,9.7,2001
5923019,UCLUELET,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44435,2001
5923025,TOFINO,Labour Force Indicators,Unemployment rate,5,2001
5923025,TOFINO,Selected Household Characteristics,"Median household income, 2000 ($) - All households",47572,2001
5923033,ALBERNI-CLAYOQUOT B,Labour Force Indicators,Unemployment rate,6.5,2001
5923033,ALBERNI-CLAYOQUOT B,Selected Household Characteristics,"Median household income, 2000 ($) - All households",45226,2001
5923035,ALBERNI-CLAYOQUOT D,Labour Force Indicators,Unemployment rate,12.4,2001
5923035,ALBERNI-CLAYOQUOT D,Selected Household Characteristics,"Median household income, 2000 ($) - All households",55490,2001
5923037,ALBERNI-CLAYOQUOT E,Labour Force Indicators,Unemployment rate,12.5,2001
5923037,ALBERNI-CLAYOQUOT E,Selected Household Characteristics,"Median household income, 2000 ($) - All households",48068,2001
5923039,ALBERNI-CLAYOQUOT F,Labour Force Indicators,Unemployment rate,17.2,2001
5923039,ALBERNI-CLAYOQUOT F,Selected Household Characteristics,"Median household income, 2000 ($) - All households",48655,2001
5923047,ALBERNI-CLAYOQUOT A,Labour Force Indicators,Unemployment rate,8.8,2001
5923047,ALBERNI-CLAYOQUOT A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32375,2001
5923049,ALBERNI-CLAYOQUOT C,Labour Force Indicators,Unemployment rate,10,2001
5923049,ALBERNI-CLAYOQUOT C,Selected Household Characteristics,"Median household income, 2000 ($) - All households",45184,2001
5923801,AHAHSWINIS 1,Labour Force Indicators,Unemployment rate,18.2,2001
5923801,AHAHSWINIS 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5923802,ALBERNI 2,Labour Force Indicators,Unemployment rate,NA,2001
5923802,ALBERNI 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923803,ANACLA 12,Labour Force Indicators,Unemployment rate,40,2001
5923803,ANACLA 12,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5923804,CLAKAMUCUS 2,Labour Force Indicators,Unemployment rate,NA,2001
5923804,CLAKAMUCUS 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923805,ELHLATEESE 2,Labour Force Indicators,Unemployment rate,NA,2001
5923805,ELHLATEESE 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923806,HESQUIAT 1,Labour Force Indicators,Unemployment rate,NA,2001
5923806,HESQUIAT 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923807,ITTATSOO 1,Labour Force Indicators,Unemployment rate,26.3,2001
5923807,ITTATSOO 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5923808,MARKTOSIS 15,Labour Force Indicators,Unemployment rate,16.7,2001
5923808,MARKTOSIS 15,Selected Household Characteristics,"Median household income, 2000 ($) - All households",35200,2001
5923809,NUMUKAMIS 1,Labour Force Indicators,Unemployment rate,NA,2001
5923809,NUMUKAMIS 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923810,MACOAH 1,Labour Force Indicators,Unemployment rate,NA,2001
5923810,MACOAH 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923812,OPENIT 27,Labour Force Indicators,Unemployment rate,NA,2001
5923812,OPENIT 27,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923813,OPITSAT 1,Labour Force Indicators,Unemployment rate,20,2001
5923813,OPITSAT 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5923814,SACHSA 4,Labour Force Indicators,Unemployment rate,NA,2001
5923814,SACHSA 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923815,STUART BAY 6,Labour Force Indicators,Unemployment rate,NA,2001
5923815,STUART BAY 6,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923816,TSAHAHEH 1,Labour Force Indicators,Unemployment rate,NA,2001
5923816,TSAHAHEH 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923821,KEESHAN 9,Labour Force Indicators,Unemployment rate,NA,2001
5923821,KEESHAN 9,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923822,KLEHKOOT 2,Labour Force Indicators,Unemployment rate,NA,2001
5923822,KLEHKOOT 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5923823,ESOWISTA 3,Labour Force Indicators,Unemployment rate,0,2001
5923823,ESOWISTA 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5923824,REFUGE COVE 6,Labour Force Indicators,Unemployment rate,22.2,2001
5923824,REFUGE COVE 6,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5925005,COMOX,Labour Force Indicators,Unemployment rate,7.9,2001
5925005,COMOX,Selected Household Characteristics,"Median household income, 2000 ($) - All households",49105,2001
5925010,COURTENAY,Labour Force Indicators,Unemployment rate,13.2,2001
5925010,COURTENAY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",37235,2001
5925014,CUMBERLAND,Labour Force Indicators,Unemployment rate,13.7,2001
5925014,CUMBERLAND,Selected Household Characteristics,"Median household income, 2000 ($) - All households",38073,2001
5925018,COMOX-STRATHCONA A,Labour Force Indicators,Unemployment rate,10.4,2001
5925018,COMOX-STRATHCONA A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",41994,2001
5925019,COMOX-STRATHCONA K,Labour Force Indicators,Unemployment rate,9.6,2001
5925019,COMOX-STRATHCONA K,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32148,2001
5925022,COMOX-STRATHCONA B,Labour Force Indicators,Unemployment rate,11.2,2001
5925022,COMOX-STRATHCONA B,Selected Household Characteristics,"Median household income, 2000 ($) - All households",47153,2001
5925024,COMOX-STRATHCONA C,Labour Force Indicators,Unemployment rate,10.8,2001
5925024,COMOX-STRATHCONA C,Selected Household Characteristics,"Median household income, 2000 ($) - All households",50167,2001
5925025,GOLD RIVER,Labour Force Indicators,Unemployment rate,18.2,2001
5925025,GOLD RIVER,Selected Household Characteristics,"Median household income, 2000 ($) - All households",57415,2001
5925029,ZEBALLOS,Labour Force Indicators,Unemployment rate,14.3,2001
5925029,ZEBALLOS,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5925030,TAHSIS,Labour Force Indicators,Unemployment rate,25,2001
5925030,TAHSIS,Selected Household Characteristics,"Median household income, 2000 ($) - All households",49386,2001
5925034,CAMPBELL RIVER,Labour Force Indicators,Unemployment rate,12.7,2001
5925034,CAMPBELL RIVER,Selected Household Characteristics,"Median household income, 2000 ($) - All households",46052,2001
5925039,SAYWARD,Labour Force Indicators,Unemployment rate,10.3,2001
5925039,SAYWARD,Selected Household Characteristics,"Median household income, 2000 ($) - All households",38807,2001
5925042,COMOX-STRATHCONA D,Labour Force Indicators,Unemployment rate,9.1,2001
5925042,COMOX-STRATHCONA D,Selected Household Characteristics,"Median household income, 2000 ($) - All households",59014,2001
5925046,COMOX-STRATHCONA H,Labour Force Indicators,Unemployment rate,14.9,2001
5925046,COMOX-STRATHCONA H,Selected Household Characteristics,"Median household income, 2000 ($) - All households",36552,2001
5925049,COMOX-STRATHCONA G,Labour Force Indicators,Unemployment rate,30.8,2001
5925049,COMOX-STRATHCONA G,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5925052,COMOX-STRATHCONA I,Labour Force Indicators,Unemployment rate,6.7,2001
5925052,COMOX-STRATHCONA I,Selected Household Characteristics,"Median household income, 2000 ($) - All households",26138,2001
5925054,COMOX-STRATHCONA J,Labour Force Indicators,Unemployment rate,12,2001
5925054,COMOX-STRATHCONA J,Selected Household Characteristics,"Median household income, 2000 ($) - All households",31368,2001
5925801,COMOX 1,Labour Force Indicators,Unemployment rate,14.3,2001
5925801,COMOX 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",24690,2001
5925802,PENTLEDGE 2,Labour Force Indicators,Unemployment rate,NA,2001
5925802,PENTLEDGE 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5925803,AHAMINAQUUS 12,Labour Force Indicators,Unemployment rate,NA,2001
5925803,AHAMINAQUUS 12,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5925804,CAMPBELL RIVER 11,Labour Force Indicators,Unemployment rate,34.5,2001
