geo_code,csd_name,topic,characteristic,total,year
5933803,HAMILTON CREEK 2,Labour Force Indicators,Unemployment rate,NA,2001
5933804,HAMILTON CREEK 7,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933804,HAMILTON CREEK 7,Labour Force Indicators,Employment rate,NA,2001
5933804,HAMILTON CREEK 7,Labour Force Indicators,Unemployment rate,NA,2001
5933805,JOEYASKA 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933805,JOEYASKA 2,Labour Force Indicators,Employment rate,NA,2001
5933805,JOEYASKA 2,Labour Force Indicators,Unemployment rate,NA,2001
5933806,NICOLA LAKE 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933806,NICOLA LAKE 1,Labour Force Indicators,Employment rate,56.5,2001
5933806,NICOLA LAKE 1,Labour Force Indicators,Unemployment rate,18.8,2001
5933807,NICOLA MAMEET 1,Income in 2000,Median total income of persons 15 years of age and over ($),12464,2001
5933807,NICOLA MAMEET 1,Labour Force Indicators,Employment rate,39.4,2001
5933807,NICOLA MAMEET 1,Labour Force Indicators,Unemployment rate,33.3,2001
5933808,NOOAITCH 10,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933808,NOOAITCH 10,Labour Force Indicators,Employment rate,42.1,2001
5933808,NOOAITCH 10,Labour Force Indicators,Unemployment rate,27.3,2001
5933809,PAUL'S BASIN 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933809,PAUL'S BASIN 2,Labour Force Indicators,Employment rate,NA,2001
5933809,PAUL'S BASIN 2,Labour Force Indicators,Unemployment rate,NA,2001
5933811,ZOHT 4,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933811,ZOHT 4,Labour Force Indicators,Employment rate,NA,2001
5933811,ZOHT 4,Labour Force Indicators,Unemployment rate,NA,2001
5933812,BONAPARTE 3,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933812,BONAPARTE 3,Labour Force Indicators,Employment rate,55,2001
5933812,BONAPARTE 3,Labour Force Indicators,Unemployment rate,15.4,2001
5933814,CANOE CREEK 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933814,CANOE CREEK 1,Labour Force Indicators,Employment rate,33.3,2001
5933814,CANOE CREEK 1,Labour Force Indicators,Unemployment rate,0,2001
5933815,HALHALAEDEN 14A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933815,HALHALAEDEN 14A,Labour Force Indicators,Employment rate,NA,2001
5933815,HALHALAEDEN 14A,Labour Force Indicators,Unemployment rate,NA,2001
5933816,CHUCHHRIASCHIN 5,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933816,CHUCHHRIASCHIN 5,Labour Force Indicators,Employment rate,NA,2001
5933816,CHUCHHRIASCHIN 5,Labour Force Indicators,Unemployment rate,NA,2001
5933817,SKEETCHESTN,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933817,SKEETCHESTN,Labour Force Indicators,Employment rate,51.4,2001
5933817,SKEETCHESTN,Labour Force Indicators,Unemployment rate,25,2001
5933818,HALHALAEDEN 14,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933818,HALHALAEDEN 14,Labour Force Indicators,Employment rate,NA,2001
5933818,HALHALAEDEN 14,Labour Force Indicators,Unemployment rate,NA,2001
5933819,HIGH BAR 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933819,HIGH BAR 1,Labour Force Indicators,Employment rate,NA,2001
5933819,HIGH BAR 1,Labour Force Indicators,Unemployment rate,NA,2001
5933820,INKLUCKCHEEN 21,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933820,INKLUCKCHEEN 21,Labour Force Indicators,Employment rate,41.2,2001
5933820,INKLUCKCHEEN 21,Labour Force Indicators,Unemployment rate,30,2001
5933821,CANOE CREEK 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933821,CANOE CREEK 2,Labour Force Indicators,Employment rate,22.2,2001
5933821,CANOE CREEK 2,Labour Force Indicators,Unemployment rate,75,2001
5933822,CHUCHHRIASCHIN 5A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933822,CHUCHHRIASCHIN 5A,Labour Force Indicators,Employment rate,NA,2001
5933822,CHUCHHRIASCHIN 5A,Labour Force Indicators,Unemployment rate,NA,2001
5933823,KITZOWIT 20,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933823,KITZOWIT 20,Labour Force Indicators,Employment rate,NA,2001
5933823,KITZOWIT 20,Labour Force Indicators,Unemployment rate,NA,2001
5933824,SKUPPAH 2A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933824,SKUPPAH 2A,Labour Force Indicators,Employment rate,NA,2001
5933824,SKUPPAH 2A,Labour Force Indicators,Unemployment rate,NA,2001
5933825,INKLYUHKINATKO 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933825,INKLYUHKINATKO 2,Labour Force Indicators,Employment rate,60,2001
5933825,INKLYUHKINATKO 2,Labour Force Indicators,Unemployment rate,0,2001
5933826,KANAKA BAR 1A,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933826,KANAKA BAR 1A,Labour Force Indicators,Employment rate,33.3,2001
5933826,KANAKA BAR 1A,Labour Force Indicators,Unemployment rate,66.7,2001
5933827,KANAKA BAR 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933827,KANAKA BAR 2,Labour Force Indicators,Employment rate,NA,2001
5933827,KANAKA BAR 2,Labour Force Indicators,Unemployment rate,NA,2001
5933828,BASQUE 18,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933828,BASQUE 18,Labour Force Indicators,Employment rate,NA,2001
5933828,BASQUE 18,Labour Force Indicators,Unemployment rate,NA,2001
5933829,KLAHKAMICH 17,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933829,KLAHKAMICH 17,Labour Force Indicators,Employment rate,44.4,2001
5933829,KLAHKAMICH 17,Labour Force Indicators,Unemployment rate,28.6,2001
5933830,KLAHKOWIT 5,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933830,KLAHKOWIT 5,Labour Force Indicators,Employment rate,NA,2001
5933830,KLAHKOWIT 5,Labour Force Indicators,Unemployment rate,NA,2001
5933831,KLEETLEKUT 22,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933831,KLEETLEKUT 22,Labour Force Indicators,Employment rate,NA,2001
5933831,KLEETLEKUT 22,Labour Force Indicators,Unemployment rate,NA,2001
5933832,KLICKKUMCHEEN 18,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933832,KLICKKUMCHEEN 18,Labour Force Indicators,Employment rate,46.7,2001
5933832,KLICKKUMCHEEN 18,Labour Force Indicators,Unemployment rate,30,2001
5933834,KUMCHEEN 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933834,KUMCHEEN 1,Labour Force Indicators,Employment rate,NA,2001
5933834,KUMCHEEN 1,Labour Force Indicators,Unemployment rate,NA,2001
5933835,LEON CREEK 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933835,LEON CREEK 2,Labour Force Indicators,Employment rate,NA,2001
5933835,LEON CREEK 2,Labour Force Indicators,Unemployment rate,NA,2001
5933836,LOWER HAT CREEK 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933836,LOWER HAT CREEK 2,Labour Force Indicators,Employment rate,33.3,2001
5933836,LOWER HAT CREEK 2,Labour Force Indicators,Unemployment rate,40,2001
5933839,LYTTON  4A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933839,LYTTON  4A,Labour Force Indicators,Employment rate,NA,2001
5933839,LYTTON  4A,Labour Force Indicators,Unemployment rate,NA,2001
5933840,LYTTON  4E,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933840,LYTTON  4E,Labour Force Indicators,Employment rate,NA,2001
5933840,LYTTON  4E,Labour Force Indicators,Unemployment rate,NA,2001
5933841,LYTTON  9A,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933841,LYTTON  9A,Labour Force Indicators,Employment rate,28.6,2001
5933841,LYTTON  9A,Labour Force Indicators,Unemployment rate,66.7,2001
5933842,LYTTON  9B,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933842,LYTTON  9B,Labour Force Indicators,Employment rate,NA,2001
5933842,LYTTON  9B,Labour Force Indicators,Unemployment rate,NA,2001
5933844,ASHCROFT 4,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933844,ASHCROFT 4,Labour Force Indicators,Employment rate,54.5,2001
5933844,ASHCROFT 4,Labour Force Indicators,Unemployment rate,28.6,2001
5933845,105 MILE POST 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933845,105 MILE POST 2,Labour Force Indicators,Employment rate,NA,2001
5933845,105 MILE POST 2,Labour Force Indicators,Unemployment rate,NA,2001
5933846,OREGON JACK CREEK 5,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933846,OREGON JACK CREEK 5,Labour Force Indicators,Employment rate,NA,2001
5933846,OREGON JACK CREEK 5,Labour Force Indicators,Unemployment rate,NA,2001
5933847,SPATSUM 11,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933847,SPATSUM 11,Labour Force Indicators,Employment rate,NA,2001
5933847,SPATSUM 11,Labour Force Indicators,Unemployment rate,NA,2001
5933848,NICKEL PALM 4,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933848,NICKEL PALM 4,Labour Force Indicators,Employment rate,NA,2001
5933848,NICKEL PALM 4,Labour Force Indicators,Unemployment rate,NA,2001
5933850,NICKEYEAH 25,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933850,NICKEYEAH 25,Labour Force Indicators,Employment rate,NA,2001
5933850,NICKEYEAH 25,Labour Force Indicators,Unemployment rate,NA,2001
5933851,NICOMEN 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933851,NICOMEN 1,Labour Force Indicators,Employment rate,28.6,2001
5933851,NICOMEN 1,Labour Force Indicators,Unemployment rate,100,2001
5933852,NOHOMEEN 23,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933852,NOHOMEEN 23,Labour Force Indicators,Employment rate,NA,2001
5933852,NOHOMEEN 23,Labour Force Indicators,Unemployment rate,NA,2001
5933853,NUUAUTIN 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933853,NUUAUTIN 2,Labour Force Indicators,Employment rate,36.8,2001
5933853,NUUAUTIN 2,Labour Force Indicators,Unemployment rate,27.3,2001
5933854,OREGON JACK CREEK 3,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933854,OREGON JACK CREEK 3,Labour Force Indicators,Employment rate,NA,2001
5933854,OREGON JACK CREEK 3,Labour Force Indicators,Unemployment rate,NA,2001
5933855,PAPYUM 27,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933855,PAPYUM 27,Labour Force Indicators,Employment rate,NA,2001
5933855,PAPYUM 27,Labour Force Indicators,Unemployment rate,NA,2001
5933856,PAPYUM 27A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933856,PAPYUM 27A,Labour Force Indicators,Employment rate,NA,2001
5933856,PAPYUM 27A,Labour Force Indicators,Unemployment rate,NA,2001
5933857,PEMYNOOS 9,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933857,PEMYNOOS 9,Labour Force Indicators,Employment rate,NA,2001
5933857,PEMYNOOS 9,Labour Force Indicators,Unemployment rate,NA,2001
5933858,SEAH 5,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933858,SEAH 5,Labour Force Indicators,Employment rate,NA,2001
5933858,SEAH 5,Labour Force Indicators,Unemployment rate,NA,2001
5933859,SHACKAN 11,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933859,SHACKAN 11,Labour Force Indicators,Employment rate,60,2001
5933859,SHACKAN 11,Labour Force Indicators,Unemployment rate,28.6,2001
5933860,SISKA FLAT 3,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933860,SISKA FLAT 3,Labour Force Indicators,Employment rate,45.5,2001
5933860,SISKA FLAT 3,Labour Force Indicators,Unemployment rate,28.6,2001
5933861,KLOKLOWUCK 7,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933861,KLOKLOWUCK 7,Labour Force Indicators,Employment rate,NA,2001
5933861,KLOKLOWUCK 7,Labour Force Indicators,Unemployment rate,NA,2001
5933862,SISKA FLAT 5A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933862,SISKA FLAT 5A,Labour Force Indicators,Employment rate,NA,2001
5933862,SISKA FLAT 5A,Labour Force Indicators,Unemployment rate,NA,2001
5933863,SISKA FLAT 5B,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933863,SISKA FLAT 5B,Labour Force Indicators,Employment rate,NA,2001
5933863,SISKA FLAT 5B,Labour Force Indicators,Unemployment rate,NA,2001
5933864,SISKA FLAT 8,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933864,SISKA FLAT 8,Labour Force Indicators,Employment rate,NA,2001
5933864,SISKA FLAT 8,Labour Force Indicators,Unemployment rate,NA,2001
5933865,SKUPPAH 4,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933865,SKUPPAH 4,Labour Force Indicators,Employment rate,NA,2001
5933865,SKUPPAH 4,Labour Force Indicators,Unemployment rate,NA,2001
5933866,SKWAYAYNOPE 26,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933866,SKWAYAYNOPE 26,Labour Force Indicators,Employment rate,NA,2001
5933866,SKWAYAYNOPE 26,Labour Force Indicators,Unemployment rate,NA,2001
5933867,SPENCES BRIDGE 4,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933867,SPENCES BRIDGE 4,Labour Force Indicators,Employment rate,NA,2001
5933867,SPENCES BRIDGE 4,Labour Force Indicators,Unemployment rate,NA,2001
5933868,SPINTLUM FLAT 3,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933868,SPINTLUM FLAT 3,Labour Force Indicators,Employment rate,NA,2001
5933868,SPINTLUM FLAT 3,Labour Force Indicators,Unemployment rate,NA,2001
5933869,STAIYAHANNY 8,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933869,STAIYAHANNY 8,Labour Force Indicators,Employment rate,NA,2001
5933869,STAIYAHANNY 8,Labour Force Indicators,Unemployment rate,NA,2001
5933870,NKAIH 10,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933870,NKAIH 10,Labour Force Indicators,Employment rate,NA,2001
5933870,NKAIH 10,Labour Force Indicators,Unemployment rate,NA,2001
5933871,SPENCES BRIDGE 4C,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933871,SPENCES BRIDGE 4C,Labour Force Indicators,Employment rate,NA,2001
5933871,SPENCES BRIDGE 4C,Labour Force Indicators,Unemployment rate,NA,2001
5933872,MARBLE CANYON 3,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933872,MARBLE CANYON 3,Labour Force Indicators,Employment rate,NA,2001
5933872,MARBLE CANYON 3,Labour Force Indicators,Unemployment rate,NA,2001
5933873,STRYEN 9,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933873,STRYEN 9,Labour Force Indicators,Employment rate,NA,2001
5933873,STRYEN 9,Labour Force Indicators,Unemployment rate,NA,2001
5933874,TSAUKAN 12,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933874,TSAUKAN 12,Labour Force Indicators,Employment rate,NA,2001
5933874,TSAUKAN 12,Labour Force Indicators,Unemployment rate,NA,2001
5933875,UPPER HAT CREEK 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933875,UPPER HAT CREEK 1,Labour Force Indicators,Employment rate,NA,2001
5933875,UPPER HAT CREEK 1,Labour Force Indicators,Unemployment rate,NA,2001
5933876,UPPER NEPA 6,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933876,UPPER NEPA 6,Labour Force Indicators,Employment rate,NA,2001
5933876,UPPER NEPA 6,Labour Force Indicators,Unemployment rate,NA,2001
5933877,WHISPERING PINES 4,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933877,WHISPERING PINES 4,Labour Force Indicators,Employment rate,44.4,2001
5933877,WHISPERING PINES 4,Labour Force Indicators,Unemployment rate,33.3,2001
5933878,YAWAUCHT 11,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933878,YAWAUCHT 11,Labour Force Indicators,Employment rate,NA,2001
5933878,YAWAUCHT 11,Labour Force Indicators,Unemployment rate,NA,2001
5933879,ZACHT 5,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933879,ZACHT 5,Labour Force Indicators,Employment rate,NA,2001
5933879,ZACHT 5,Labour Force Indicators,Unemployment rate,NA,2001
5933880,KAMLOOPS 1,Income in 2000,Median total income of persons 15 years of age and over ($),14882,2001
5933880,KAMLOOPS 1,Labour Force Indicators,Employment rate,54.5,2001
5933880,KAMLOOPS 1,Labour Force Indicators,Unemployment rate,13.7,2001
5933883,NESKONLITH 1 (NESKAINLITH 1),Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933883,NESKONLITH 1 (NESKAINLITH 1),Labour Force Indicators,Employment rate,NA,2001
5933883,NESKONLITH 1 (NESKAINLITH 1),Labour Force Indicators,Unemployment rate,NA,2001
5933884,SAHHALTKUM 4,Income in 2000,Median total income of persons 15 years of age and over ($),12628,2001
5933884,SAHHALTKUM 4,Labour Force Indicators,Employment rate,40,2001
5933884,SAHHALTKUM 4,Labour Force Indicators,Unemployment rate,30,2001
5933885,NESKONLITH 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933885,NESKONLITH 2,Labour Force Indicators,Employment rate,50,2001
5933885,NESKONLITH 2,Labour Force Indicators,Unemployment rate,27.3,2001
5933886,NEKALLISTON 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933886,NEKALLISTON 2,Labour Force Indicators,Employment rate,NA,2001
5933886,NEKALLISTON 2,Labour Force Indicators,Unemployment rate,NA,2001
5933887,NORTH THOMPSON 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5933887,NORTH THOMPSON 1,Labour Force Indicators,Employment rate,61.8,2001
5933887,NORTH THOMPSON 1,Labour Force Indicators,Unemployment rate,16,2001
5933888,LOUIS CREEK 4,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933888,LOUIS CREEK 4,Labour Force Indicators,Employment rate,NA,2001
5933888,LOUIS CREEK 4,Labour Force Indicators,Unemployment rate,NA,2001
5933889,SQUAAM 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933889,SQUAAM 2,Labour Force Indicators,Employment rate,NA,2001
5933889,SQUAAM 2,Labour Force Indicators,Unemployment rate,NA,2001
5933890,CAMERON BAR 13,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5933890,CAMERON BAR 13,Labour Force Indicators,Employment rate,NA,2001
5933890,CAMERON BAR 13,Labour Force Indicators,Unemployment rate,NA,2001
5935010,KELOWNA,Income in 2000,Median total income of persons 15 years of age and over ($),21515,2001
5935010,KELOWNA,Labour Force Indicators,Employment rate,56.7,2001
5935010,KELOWNA,Labour Force Indicators,Unemployment rate,9.1,2001
5935012,CENTRAL OKANAGAN I,Income in 2000,Median total income of persons 15 years of age and over ($),23310,2001
5935012,CENTRAL OKANAGAN I,Labour Force Indicators,Employment rate,65.2,2001
5935012,CENTRAL OKANAGAN I,Labour Force Indicators,Unemployment rate,6.7,2001
5935016,LAKE COUNTRY,Income in 2000,Median total income of persons 15 years of age and over ($),20788,2001
5935016,LAKE COUNTRY,Labour Force Indicators,Employment rate,62.1,2001
5935016,LAKE COUNTRY,Labour Force Indicators,Unemployment rate,6.1,2001
5935018,PEACHLAND,Income in 2000,Median total income of persons 15 years of age and over ($),18668,2001
5935018,PEACHLAND,Labour Force Indicators,Employment rate,47,2001
5935018,PEACHLAND,Labour Force Indicators,Unemployment rate,9,2001
5935025,CENTRAL OKANAGAN G,Income in 2000,Median total income of persons 15 years of age and over ($),24027,2001
5935025,CENTRAL OKANAGAN G,Labour Force Indicators,Employment rate,58.8,2001
5935025,CENTRAL OKANAGAN G,Labour Force Indicators,Unemployment rate,7.7,2001
5935027,CENTRAL OKANAGAN H,Income in 2000,Median total income of persons 15 years of age and over ($),21493,2001
5935027,CENTRAL OKANAGAN H,Labour Force Indicators,Employment rate,56.1,2001
5935027,CENTRAL OKANAGAN H,Labour Force Indicators,Unemployment rate,8,2001
5935801,DUCK LAKE 7,Income in 2000,Median total income of persons 15 years of age and over ($),16618,2001
5935801,DUCK LAKE 7,Labour Force Indicators,Employment rate,40.1,2001
5935801,DUCK LAKE 7,Labour Force Indicators,Unemployment rate,14.7,2001
5935802,TSINSTIKEPTUM  9,Income in 2000,Median total income of persons 15 years of age and over ($),17924,2001
5935802,TSINSTIKEPTUM  9,Labour Force Indicators,Employment rate,46.9,2001
5935802,TSINSTIKEPTUM  9,Labour Force Indicators,Unemployment rate,14.2,2001
5935803,TSINSTIKEPTUM 10,Income in 2000,Median total income of persons 15 years of age and over ($),20372,2001
5935803,TSINSTIKEPTUM 10,Labour Force Indicators,Employment rate,66.4,2001
5935803,TSINSTIKEPTUM 10,Labour Force Indicators,Unemployment rate,5,2001
5937005,LUMBY,Income in 2000,Median total income of persons 15 years of age and over ($),18356,2001
5937005,LUMBY,Labour Force Indicators,Employment rate,37.7,2001
5937005,LUMBY,Labour Force Indicators,Unemployment rate,26,2001
5937010,COLDSTREAM,Income in 2000,Median total income of persons 15 years of age and over ($),24218,2001
5937010,COLDSTREAM,Labour Force Indicators,Employment rate,61.9,2001
5937010,COLDSTREAM,Labour Force Indicators,Unemployment rate,8.3,2001
5937014,VERNON,Income in 2000,Median total income of persons 15 years of age and over ($),19050,2001
5937014,VERNON,Labour Force Indicators,Employment rate,51.7,2001
5937014,VERNON,Labour Force Indicators,Unemployment rate,10.7,2001
5937017,NORTH OKANAGAN B,Income in 2000,Median total income of persons 15 years of age and over ($),18173,2001
5937017,NORTH OKANAGAN B,Labour Force Indicators,Employment rate,60.8,2001
5937017,NORTH OKANAGAN B,Labour Force Indicators,Unemployment rate,11,2001
5937021,NORTH OKANAGAN C,Income in 2000,Median total income of persons 15 years of age and over ($),23520,2001
5937021,NORTH OKANAGAN C,Labour Force Indicators,Employment rate,62.5,2001
5937021,NORTH OKANAGAN C,Labour Force Indicators,Unemployment rate,8.2,2001
5937022,NORTH OKANAGAN D,Income in 2000,Median total income of persons 15 years of age and over ($),16529,2001
5937022,NORTH OKANAGAN D,Labour Force Indicators,Employment rate,58.7,2001
5937022,NORTH OKANAGAN D,Labour Force Indicators,Unemployment rate,10,2001
5937023,NORTH OKANAGAN E,Income in 2000,Median total income of persons 15 years of age and over ($),13583,2001
5937023,NORTH OKANAGAN E,Labour Force Indicators,Employment rate,38.4,2001
5937023,NORTH OKANAGAN E,Labour Force Indicators,Unemployment rate,24.7,2001
5937024,SPALLUMCHEEN,Income in 2000,Median total income of persons 15 years of age and over ($),19207,2001
5937024,SPALLUMCHEEN,Labour Force Indicators,Employment rate,63.2,2001
5937024,SPALLUMCHEEN,Labour Force Indicators,Unemployment rate,8.7,2001
5937028,ARMSTRONG,Income in 2000,Median total income of persons 15 years of age and over ($),18496,2001
5937028,ARMSTRONG,Labour Force Indicators,Employment rate,52.1,2001
5937028,ARMSTRONG,Labour Force Indicators,Unemployment rate,10.1,2001
5937033,ENDERBY,Income in 2000,Median total income of persons 15 years of age and over ($),16520,2001
5937033,ENDERBY,Labour Force Indicators,Employment rate,39.5,2001
5937033,ENDERBY,Labour Force Indicators,Unemployment rate,12.5,2001
5937041,NORTH OKANAGAN F,Income in 2000,Median total income of persons 15 years of age and over ($),17925,2001
5937041,NORTH OKANAGAN F,Labour Force Indicators,Employment rate,56.7,2001
5937041,NORTH OKANAGAN F,Labour Force Indicators,Unemployment rate,11.6,2001
5937801,OKANAGAN (PART) 1,Income in 2000,Median total income of persons 15 years of age and over ($),15015,2001
5937801,OKANAGAN (PART) 1,Labour Force Indicators,Employment rate,34,2001
5937801,OKANAGAN (PART) 1,Labour Force Indicators,Unemployment rate,19.5,2001
5937802,ENDERBY 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5937802,ENDERBY 2,Labour Force Indicators,Employment rate,42.4,2001
5937802,ENDERBY 2,Labour Force Indicators,Unemployment rate,39.1,2001
5937803,PRIEST'S VALLEY 6,Income in 2000,Median total income of persons 15 years of age and over ($),16564,2001
5937803,PRIEST'S VALLEY 6,Labour Force Indicators,Employment rate,43.1,2001
5937803,PRIEST'S VALLEY 6,Labour Force Indicators,Unemployment rate,8.6,2001
5937805,HARRIS 3,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5937805,HARRIS 3,Labour Force Indicators,Employment rate,NA,2001
5937805,HARRIS 3,Labour Force Indicators,Unemployment rate,NA,2001
5939007,GOLDEN,Income in 2000,Median total income of persons 15 years of age and over ($),20320,2001
5939007,GOLDEN,Labour Force Indicators,Employment rate,64.1,2001
5939007,GOLDEN,Labour Force Indicators,Unemployment rate,8.4,2001
5939011,COLUMBIA-SHUSWAP A,Income in 2000,Median total income of persons 15 years of age and over ($),20510,2001
5939011,COLUMBIA-SHUSWAP A,Labour Force Indicators,Employment rate,66.9,2001
5939011,COLUMBIA-SHUSWAP A,Labour Force Indicators,Unemployment rate,14.5,2001
5939019,REVELSTOKE,Income in 2000,Median total income of persons 15 years of age and over ($),20793,2001
5939019,REVELSTOKE,Labour Force Indicators,Employment rate,61.5,2001
5939019,REVELSTOKE,Labour Force Indicators,Unemployment rate,10.2,2001
5939023,COLUMBIA-SHUSWAP B,Income in 2000,Median total income of persons 15 years of age and over ($),24472,2001
5939023,COLUMBIA-SHUSWAP B,Labour Force Indicators,Employment rate,61.9,2001
5939023,COLUMBIA-SHUSWAP B,Labour Force Indicators,Unemployment rate,19,2001
5939032,SALMON ARM,Income in 2000,Median total income of persons 15 years of age and over ($),19243,2001
5939032,SALMON ARM,Labour Force Indicators,Employment rate,55.7,2001
5939032,SALMON ARM,Labour Force Indicators,Unemployment rate,9.4,2001
5939037,COLUMBIA-SHUSWAP C,Income in 2000,Median total income of persons 15 years of age and over ($),19057,2001
5939037,COLUMBIA-SHUSWAP C,Labour Force Indicators,Employment rate,45.1,2001
5939037,COLUMBIA-SHUSWAP C,Labour Force Indicators,Unemployment rate,10.8,2001
5939039,COLUMBIA-SHUSWAP D,Income in 2000,Median total income of persons 15 years of age and over ($),16291,2001
5939039,COLUMBIA-SHUSWAP D,Labour Force Indicators,Employment rate,58.8,2001
5939039,COLUMBIA-SHUSWAP D,Labour Force Indicators,Unemployment rate,12.1,2001
5939043,COLUMBIA-SHUSWAP E,Income in 2000,Median total income of persons 15 years of age and over ($),17358,2001
5939043,COLUMBIA-SHUSWAP E,Labour Force Indicators,Employment rate,50,2001
5939043,COLUMBIA-SHUSWAP E,Labour Force Indicators,Unemployment rate,15.9,2001
5939044,COLUMBIA-SHUSWAP F,Income in 2000,Median total income of persons 15 years of age and over ($),18004,2001
5939044,COLUMBIA-SHUSWAP F,Labour Force Indicators,Employment rate,44.1,2001
5939044,COLUMBIA-SHUSWAP F,Labour Force Indicators,Unemployment rate,10.4,2001
5939045,SICAMOUS,Income in 2000,Median total income of persons 15 years of age and over ($),18184,2001
5939045,SICAMOUS,Labour Force Indicators,Employment rate,44,2001
5939045,SICAMOUS,Labour Force Indicators,Unemployment rate,18.7,2001
