am_sid,iucn_sid,spatial_source,sciname,cat_score,pr_score,trend_score
NA,22696610,iucn-bli,Podiceps nigricollis,0.4,0.4,NA
NA,22696974,iucn-bli,Egretta thula,0,NA,0.5
NA,22696998,iucn-bli,Ardea herodias,0.4,0.4,0.5
NA,22697829,iucn-bli,Gavia stellata,0.2,0.2,-0.5
NA,22697839,iucn-bli,Gavia pacifica,0.2,0.2,0.5
NA,22697842,iucn-bli,Gavia immer,0,0,-0.5
NA,22697847,iucn-bli,Gavia adamsii,0.5,0.5,-0.5
NA,22697963,iucn-bli,Pterodroma inexpectata,0.2,NA,-0.5
NA,22698039,iucn-bli,Pterodroma ultima,0.2,NA,-0.5
NA,22698182,iucn-bli,Puffinus bulleri,0.4,0.4,0
NA,22698188,iucn-bli,Puffinus carneipes,0.4,0.4,0
NA,22698195,iucn-bli,Puffinus creatopus,0.4,0.4,NA
NA,22698209,iucn-bli,Puffinus griseus,0.2,NA,-0.5
NA,22698216,iucn-bli,Puffinus tenuirostris,0,NA,-0.5
NA,22698335,iucn-bli,Diomedea albatrus,0.6,0.8,0.5
NA,22698350,iucn-bli,Diomedea nigripes,0.25,0.3,0.5
NA,22698365,iucn-bli,Diomedea immutabilis,0.3,0.4,0
NA,22698572,iucn-bli,Oceanodroma furcata,0.2,0.2,0.5
NA,22705986,iucn-bli,Corvus caurinus,0,0,0.5
NA,22710886,iucn-bli,Sturnus vulgaris,0,NA,-0.5
NA,22711374,iucn-bli,Cistothorus palustris,0,0,0.5
NA,22712077,iucn-bli,Tachycineta thalassina,0.1,0.1,0.5
NA,22717415,iucn-bli,Alauda arvensis,0,NA,-0.5
NA,22717434,iucn-bli,Eremophila alpestris,0,0,-0.5
NA,22718575,iucn-bli,Anthus rubescens,0,0,-0.5
NA,22721033,iucn-bli,Calcarius lapponicus,0,NA,0.5
NA,22721043,iucn-bli,Plectrophenax nivalis,0.2,0.2,-0.5
NA,22721058,iucn-bli,Melospiza melodia,0,0,0
NA,22721836,iucn-bli,Geothlypis trichas,0,0,0
NA,22724332,iucn-bli,Euphagus cyanocephalus,0,0,-0.5
NA,22728182,iucn-bli,Butorides striata,0.15,0.3,-0.5
NA,22728995,iucn-bli,Larus thayeri,0,0,0.5
NA,22732425,iucn-bli,Melanitta americana,0.3,0.3,-0.5
NA,22734194,iucn-bli,Melanitta deglandi,0,NA,-0.5
NA,22735128,iucn-bli,Stelgidopteryx serripennis,0.1,0.1,-0.5
NA,45354964,iucn-bli,Falco pelegrinoides,0.2,0.4,0
NA,62015238,iucn-bli,Haematopus ater,0.1,0.2,NA
NA,62030590,iucn-bli,Larus smithsonianus,0,NA,-0.5
NA,62101215,iucn-bli,Synthliboramphus hypoleucus,0.6,NA,-0.5
NA,62101249,iucn-bli,Synthliboramphus scrippsi,0.4,NA,-0.5
NA,62169677,iucn-bli,Fulica americana,0.05,0.1,-0.5
